Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005730~nucleolus	21	14.583333333333334	1.3556806742281733E-6	ENSG00000165732, ENSG00000055044, ENSG00000129351, ENSG00000132773, ENSG00000130810, ENSG00000150753, ENSG00000173821, ENSG00000168496, ENSG00000077312, ENSG00000134077, ENSG00000134107, ENSG00000182196, ENSG00000086102, ENSG00000132002, ENSG00000167565, ENSG00000142541, ENSG00000101255, ENSG00000117877, ENSG00000166483, ENSG00000166987, ENSG00000198356	122	695	14343	3.552341077957306	2.6432297120260184E-4	2.6432297120260184E-4	0.001692145945264567
GOTERM_CC_DIRECT	GO:0005634~nucleus	61	42.36111111111111	9.840194821892618E-6	ENSG00000010292, ENSG00000144579, ENSG00000122783, ENSG00000076604, ENSG00000175793, ENSG00000086102, ENSG00000118705, ENSG00000120539, ENSG00000175197, ENSG00000126461, ENSG00000117318, ENSG00000130522, ENSG00000089157, ENSG00000136937, ENSG00000120129, ENSG00000196456, ENSG00000203705, ENSG00000179862, ENSG00000168496, ENSG00000142945, ENSG00000143398, ENSG00000182196, ENSG00000132002, ENSG00000198625, ENSG00000140455, ENSG00000167565, ENSG00000167468, ENSG00000117877, ENSG00000166483, ENSG00000166987, ENSG00000130511, ENSG00000196290, ENSG00000130513, ENSG00000073111, ENSG00000165732, ENSG00000122034, ENSG00000055044, ENSG00000141499, ENSG00000129351, ENSG00000134748, ENSG00000136003, ENSG00000132773, ENSG00000130810, ENSG00000134333, ENSG00000125968, ENSG00000132963, ENSG00000142541, ENSG00000186660, ENSG00000198356, ENSG00000150991, ENSG00000125148, ENSG00000180198, ENSG00000157349, ENSG00000167685, ENSG00000134107, ENSG00000128016, ENSG00000149311, ENSG00000095794, ENSG00000101255, ENSG00000197409, ENSG00000171848	122	4400	14343	1.6298863636363639	0.00191700762042335	9.5896361581993E-4	0.012281826424831443
GOTERM_MF_DIRECT	GO:0042393~histone binding	7	4.861111111111112	1.427585915252423E-4	ENSG00000073111, ENSG00000010292, ENSG00000173207, ENSG00000140455, ENSG00000180198, ENSG00000123975, ENSG00000197409	122	89	13540	8.729047706759992	0.03520049339763487	0.03520049339763487	0.18541469879487238
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	36	25.0	2.0508818913666935E-4	ENSG00000122034, ENSG00000073111, ENSG00000010292, ENSG00000165732, ENSG00000105325, ENSG00000055044, ENSG00000144579, ENSG00000129351, ENSG00000132773, ENSG00000105193, ENSG00000077312, ENSG00000160752, ENSG00000120539, ENSG00000125968, ENSG00000132963, ENSG00000175197, ENSG00000117318, ENSG00000106105, ENSG00000150991, ENSG00000136937, ENSG00000180198, ENSG00000168496, ENSG00000143398, ENSG00000092531, ENSG00000132002, ENSG00000173207, ENSG00000198625, ENSG00000086544, ENSG00000149311, ENSG00000101255, ENSG00000169564, ENSG00000166483, ENSG00000117877, ENSG00000166987, ENSG00000197409, ENSG00000171848	122	2280	14343	1.8562985332182917	0.03920700438873104	0.013243620669744827	0.2556896600409031
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	55	38.19444444444444	4.038317436243272E-4	ENSG00000010292, ENSG00000122783, ENSG00000140043, ENSG00000076604, ENSG00000175793, ENSG00000077312, ENSG00000134077, ENSG00000086102, ENSG00000120539, ENSG00000175197, ENSG00000117318, ENSG00000106105, ENSG00000089157, ENSG00000136937, ENSG00000120129, ENSG00000125753, ENSG00000179862, ENSG00000168237, ENSG00000143398, ENSG00000092531, ENSG00000132002, ENSG00000178921, ENSG00000140455, ENSG00000169564, ENSG00000117877, ENSG00000166483, ENSG00000196290, ENSG00000130513, ENSG00000073111, ENSG00000055044, ENSG00000182378, ENSG00000141499, ENSG00000129351, ENSG00000136003, ENSG00000132773, ENSG00000150753, ENSG00000173821, ENSG00000166710, ENSG00000134333, ENSG00000160752, ENSG00000172939, ENSG00000132963, ENSG00000142541, ENSG00000078674, ENSG00000198356, ENSG00000150991, ENSG00000125148, ENSG00000180198, ENSG00000157349, ENSG00000128016, ENSG00000149311, ENSG00000095794, ENSG00000171314, ENSG00000214021, ENSG00000171848	122	4286	14343	1.508657619546675	0.07574113957101258	0.019498176565720282	0.5028953661703084
GOTERM_MF_DIRECT	GO:0005515~protein binding	85	59.02777777777778	4.612125610722644E-4	ENSG00000010292, ENSG00000145354, ENSG00000144579, ENSG00000122783, ENSG00000076604, ENSG00000175793, ENSG00000077312, ENSG00000086598, ENSG00000101363, ENSG00000002330, ENSG00000118705, ENSG00000172270, ENSG00000175197, ENSG00000072571, ENSG00000117318, ENSG00000130522, ENSG00000089157, ENSG00000136937, ENSG00000120129, ENSG00000167460, ENSG00000126391, ENSG00000130313, ENSG00000126458, ENSG00000125753, ENSG00000176473, ENSG00000168237, ENSG00000168496, ENSG00000117448, ENSG00000182196, ENSG00000142945, ENSG00000143398, ENSG00000132002, ENSG00000092531, ENSG00000198625, ENSG00000167565, ENSG00000197912, ENSG00000198055, ENSG00000169564, ENSG00000166483, ENSG00000196961, ENSG00000130511, ENSG00000196290, ENSG00000103429, ENSG00000130513, ENSG00000104783, ENSG00000073111, ENSG00000165732, ENSG00000105325, ENSG00000055044, ENSG00000141499, ENSG00000117481, ENSG00000129351, ENSG00000134748, ENSG00000132773, ENSG00000136003, ENSG00000150753, ENSG00000175581, ENSG00000105193, ENSG00000166710, ENSG00000134333, ENSG00000172939, ENSG00000125968, ENSG00000147684, ENSG00000132963, ENSG00000125826, ENSG00000078674, ENSG00000198356, ENSG00000150991, ENSG00000125148, ENSG00000123975, ENSG00000180198, ENSG00000157349, ENSG00000134107, ENSG00000176986, ENSG00000173207, ENSG00000171456, ENSG00000149311, ENSG00000128016, ENSG00000095794, ENSG00000137955, ENSG00000101255, ENSG00000171848, ENSG00000197409, ENSG00000171314, ENSG00000111639	122	7351	13540	1.2833092854546388	0.10933869872295188	0.056251462900710925	0.5978794285707467
GOTERM_BP_DIRECT	GO:0051591~response to cAMP	5	3.4722222222222223	5.563782117108794E-4	ENSG00000134333, ENSG00000172270, ENSG00000095794, ENSG00000130522, ENSG00000120129	118	44	13502	13.002696456086285	0.3503445358753654	0.3503445358753654	0.8471081844065309
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	19	13.194444444444445	0.0010347103557083277	ENSG00000165732, ENSG00000181991, ENSG00000055044, ENSG00000145354, ENSG00000129351, ENSG00000134748, ENSG00000130810, ENSG00000105193, ENSG00000077312, ENSG00000182196, ENSG00000086102, ENSG00000160752, ENSG00000128016, ENSG00000142541, ENSG00000169564, ENSG00000117877, ENSG00000089157, ENSG00000150991, ENSG00000136937	122	900	13540	2.3429872495446267	0.22883024576031807	0.08297045236733147	1.3367139500128578
GOTERM_BP_DIRECT	GO:0072661~protein targeting to plasma membrane	4	2.7777777777777777	0.001425636579398475	ENSG00000172270, ENSG00000086598, ENSG00000179820, ENSG00000143398	118	26	13502	17.603650586701434	0.669006542191042	0.42467969112071324	2.1571760988755018
GOTERM_CC_DIRECT	GO:0005829~cytosol	39	27.083333333333332	0.00176980996050711	ENSG00000010292, ENSG00000105325, ENSG00000136003, ENSG00000150753, ENSG00000105193, ENSG00000173821, ENSG00000175793, ENSG00000160752, ENSG00000134333, ENSG00000002330, ENSG00000132963, ENSG00000142541, ENSG00000072571, ENSG00000175197, ENSG00000125826, ENSG00000089157, ENSG00000106105, ENSG00000078674, ENSG00000177951, ENSG00000150991, ENSG00000136937, ENSG00000167460, ENSG00000130313, ENSG00000125148, ENSG00000125753, ENSG00000168237, ENSG00000117448, ENSG00000176986, ENSG00000143398, ENSG00000142945, ENSG00000132002, ENSG00000178921, ENSG00000086544, ENSG00000128016, ENSG00000101255, ENSG00000167468, ENSG00000196961, ENSG00000171314, ENSG00000171848	122	2856	14343	1.6054122468659595	0.2920761129706897	0.06675147254155067	2.1867678088672293
GOTERM_CC_DIRECT	GO:0030529~intracellular ribonucleoprotein complex	6	4.166666666666666	0.0023784579757400314	ENSG00000128016, ENSG00000142541, ENSG00000129351, ENSG00000169564, ENSG00000089157, ENSG00000136937	122	110	14343	6.412667660208644	0.3714575710717143	0.07447298475120356	2.928585641642656
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	10	6.944444444444445	0.002438890252069033	ENSG00000167460, ENSG00000092531, ENSG00000126458, ENSG00000125753, ENSG00000172270, ENSG00000142541, ENSG00000105193, ENSG00000089157, ENSG00000143398, ENSG00000166710	122	342	14343	3.4375898763301693	0.3788387021815327	0.0657614802098141	3.001957117802212
GOTERM_CC_DIRECT	GO:0016020~membrane	28	19.444444444444446	0.004438545566809676	ENSG00000010292, ENSG00000165732, ENSG00000055044, ENSG00000145354, ENSG00000129351, ENSG00000105193, ENSG00000173821, ENSG00000166710, ENSG00000134333, ENSG00000118705, ENSG00000172270, ENSG00000072571, ENSG00000142541, ENSG00000089157, ENSG00000177951, ENSG00000078674, ENSG00000167460, ENSG00000126458, ENSG00000152683, ENSG00000157349, ENSG00000168496, ENSG00000142945, ENSG00000198055, ENSG00000169564, ENSG00000196961, ENSG00000171314, ENSG00000197409, ENSG00000103429	122	1912	14343	1.72167158241306	0.5799757810622553	0.10275862629885268	5.401180936960904
GOTERM_MF_DIRECT	GO:0003723~RNA binding	11	7.638888888888889	0.00559478054062221	ENSG00000122034, ENSG00000141499, ENSG00000129351, ENSG00000126461, ENSG00000178694, ENSG00000169564, ENSG00000105193, ENSG00000157349, ENSG00000077312, ENSG00000134077, ENSG00000136937	122	435	13540	2.80648200489919	0.7554249285650014	0.2967608387767744	7.033540909231473
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	18	12.5	0.00834958731927819	ENSG00000181991, ENSG00000178127, ENSG00000168237, ENSG00000129351, ENSG00000136003, ENSG00000175793, ENSG00000168496, ENSG00000002330, ENSG00000160752, ENSG00000172270, ENSG00000147684, ENSG00000197912, ENSG00000100890, ENSG00000167468, ENSG00000117877, ENSG00000148187, ENSG00000196290, ENSG00000136937	122	1070	14343	1.9777386241764976	0.8050485788742481	0.1661211977357726	9.936660258630226
GOTERM_BP_DIRECT	GO:0051726~regulation of cell cycle	5	3.4722222222222223	0.009652109683415925	ENSG00000120539, ENSG00000149311, ENSG00000117318, ENSG00000130522, ENSG00000166483	118	96	13502	5.959569209039548	0.9994560861820581	0.9183712090402643	13.779208057406178
