Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0016042~lipid catabolic process	13	2.3255813953488373	3.828330508973699E-6	ENSG00000187980, ENSG00000137392, ENSG00000127472, ENSG00000069764, ENSG00000158006, ENSG00000163898, ENSG00000203837, ENSG00000105223, ENSG00000163803, ENSG00000117215, ENSG00000164535, ENSG00000180316, ENSG00000170890	462	70	13502	5.427520098948671	0.007122024064073362	0.007122024064073362	0.0065290328372547
GOTERM_MF_DIRECT	GO:0004623~phospholipase A2 activity	7	1.2522361359570662	1.574982906355693E-4	ENSG00000187980, ENSG00000105499, ENSG00000127472, ENSG00000069764, ENSG00000163803, ENSG00000117215, ENSG00000170890	464	25	13540	8.170689655172415	0.09745746736374938	0.09745746736374938	0.23495127346006006
GOTERM_BP_DIRECT	GO:0050482~arachidonic acid secretion	6	1.073345259391771	5.870483892371951E-4	ENSG00000187980, ENSG00000127472, ENSG00000069764, ENSG00000069696, ENSG00000117215, ENSG00000170890	462	21	13502	8.350030921459494	0.6659087690885417	0.42199374492012787	0.9965090616342209
GOTERM_BP_DIRECT	GO:0036151~phosphatidylcholine acyl-chain remodeling	6	1.073345259391771	0.0011268587116618656	ENSG00000105499, ENSG00000127472, ENSG00000069764, ENSG00000163803, ENSG00000117215, ENSG00000170890	462	24	13502	7.3062770562770565	0.878158160650456	0.5042468502139916	1.9045751708555048
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	25	4.47227191413238	0.0016402020415099128	ENSG00000183605, ENSG00000162600, ENSG00000178741, ENSG00000120333, ENSG00000125648, ENSG00000151366, ENSG00000166855, ENSG00000180389, ENSG00000122912, ENSG00000181061, ENSG00000109919, ENSG00000137806, ENSG00000136758, ENSG00000164919, ENSG00000034971, ENSG00000117118, ENSG00000144381, ENSG00000116898, ENSG00000000938, ENSG00000184752, ENSG00000078070, ENSG00000181610, ENSG00000119421, ENSG00000102738, ENSG00000175564	504	354	14343	2.0097693032015065	0.47108147419278734	0.47108147419278734	2.25370669654984
GOTERM_BP_DIRECT	GO:0036149~phosphatidylinositol acyl-chain remodeling	5	0.8944543828264758	0.001760357977365309	ENSG00000105499, ENSG00000127472, ENSG00000069764, ENSG00000117215, ENSG00000170890	462	16	13502	9.13284632034632	0.9627269423792877	0.5606114300734049	2.9602438886715654
GOTERM_MF_DIRECT	GO:0004715~non-membrane spanning protein tyrosine kinase activity	7	1.2522361359570662	0.002855207757326291	ENSG00000143322, ENSG00000013441, ENSG00000105397, ENSG00000055332, ENSG00000101336, ENSG00000000938, ENSG00000113263	464	42	13540	4.863505747126437	0.8445449810790998	0.6057221551736642	4.180204372458817
GOTERM_BP_DIRECT	GO:0036152~phosphatidylethanolamine acyl-chain remodeling	5	0.8944543828264758	0.005057518636631201	ENSG00000105499, ENSG00000127472, ENSG00000069764, ENSG00000117215, ENSG00000170890	462	21	13502	6.958359101216244	0.9999225862104298	0.8494212576574476	8.284156706392565
GOTERM_MF_DIRECT	GO:0008349~MAP kinase kinase kinase kinase activity	3	0.5366726296958855	0.006687320523908288	ENSG00000168067, ENSG00000104814, ENSG00000012983	464	4	13540	21.885775862068968	0.9873242850818065	0.7668381525788702	9.534750968112139
GOTERM_MF_DIRECT	GO:0051539~4 iron, 4 sulfur cluster binding	6	1.073345259391771	0.008085402920219309	ENSG00000117118, ENSG00000101391, ENSG00000023228, ENSG00000138346, ENSG00000169599, ENSG00000062822	464	37	13540	4.7320596458527495	0.9949329265355431	0.7331978652059866	11.417763738772324
GOTERM_MF_DIRECT	GO:0009055~electron carrier activity	9	1.6100178890876566	0.008482236179933243	ENSG00000104808, ENSG00000025423, ENSG00000117118, ENSG00000023228, ENSG00000140505, ENSG00000178741, ENSG00000053371, ENSG00000005194, ENSG00000184752	464	85	13540	3.089756592292089	0.9960949637561856	0.6701435248345404	11.945538679992286
GOTERM_BP_DIRECT	GO:0006644~phospholipid metabolic process	6	1.073345259391771	0.00899877824405024	ENSG00000187980, ENSG00000105499, ENSG00000127472, ENSG00000069764, ENSG00000117215, ENSG00000170890	462	38	13502	4.614490772385509	0.9999999531712512	0.9399630309399856	14.287305743242873
GOTERM_BP_DIRECT	GO:0045087~innate immune response	20	3.5778175313059033	0.015218418058785203	ENSG00000173369, ENSG00000168067, ENSG00000106785, ENSG00000091592, ENSG00000180424, ENSG00000197442, ENSG00000129988, ENSG00000055332, ENSG00000000938, ENSG00000113263, ENSG00000130768, ENSG00000143322, ENSG00000203710, ENSG00000180383, ENSG00000105397, ENSG00000180483, ENSG00000124731, ENSG00000205403, ENSG00000142867, ENSG00000131068	462	323	13502	1.8096042244649053	0.9999999999996322	0.9832636457281322	23.013953366451588
GOTERM_BP_DIRECT	GO:0036148~phosphatidylglycerol acyl-chain remodeling	4	0.7155635062611807	0.015898565159372376	ENSG00000127472, ENSG00000069764, ENSG00000117215, ENSG00000170890	462	16	13502	7.3062770562770565	0.9999999999998987	0.9762491860016835	23.915776877087257
GOTERM_BP_DIRECT	GO:0040016~embryonic cleavage	3	0.5366726296958855	0.015926826337469568	ENSG00000131747, ENSG00000187569, ENSG00000051382	462	6	13502	14.612554112554113	0.9999999999999041	0.964225679835415	23.953033000754388
GOTERM_MF_DIRECT	GO:0051536~iron-sulfur cluster binding	4	0.7155635062611807	0.015963400699090108	ENSG00000101391, ENSG00000023228, ENSG00000169599, ENSG00000005194	464	16	13540	7.295258620689656	0.9999717950912146	0.8255299910852583	21.362540109794416
GOTERM_BP_DIRECT	GO:0006508~proteolysis	22	3.9355992844364938	0.01636194513838297	ENSG00000173369, ENSG00000186452, ENSG00000064313, ENSG00000105141, ENSG00000008516, ENSG00000123992, ENSG00000158525, ENSG00000157766, ENSG00000015413, ENSG00000143387, ENSG00000165923, ENSG00000100985, ENSG00000149260, ENSG00000125966, ENSG00000085265, ENSG00000157193, ENSG00000156521, ENSG00000168925, ENSG00000131067, ENSG00000205403, ENSG00000016490, ENSG00000168928	462	371	13502	1.7330252855859325	0.9999999999999579	0.9540426818702246	24.524477826293623
GOTERM_BP_DIRECT	GO:0036150~phosphatidylserine acyl-chain remodeling	4	0.7155635062611807	0.018825291762143342	ENSG00000127472, ENSG00000069764, ENSG00000117215, ENSG00000170890	462	17	13502	6.876496052966641	0.9999999999999996	0.9602689883796882	27.68413742133964
GOTERM_BP_DIRECT	GO:0008637~apoptotic mitochondrial changes	4	0.7155635062611807	0.018825291762143342	ENSG00000023228, ENSG00000144381, ENSG00000104695, ENSG00000023909	462	17	13502	6.876496052966641	0.9999999999999996	0.9602689883796882	27.68413742133964
GOTERM_BP_DIRECT	GO:0032094~response to food	4	0.7155635062611807	0.029271868606136682	ENSG00000137392, ENSG00000101405, ENSG00000184502, ENSG00000142867	462	20	13502	5.845021645021645	1.0	0.9901688569569604	39.75107532418494
