Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Mitochondrion	85	14.237855946398659	1.666044679266317E-15	ENSG00000125741, ENSG00000104687, ENSG00000114054, ENSG00000176890, ENSG00000178741, ENSG00000136521, ENSG00000125648, ENSG00000130770, ENSG00000076248, ENSG00000139437, ENSG00000197256, ENSG00000138346, ENSG00000067704, ENSG00000169682, ENSG00000116221, ENSG00000156502, ENSG00000174990, ENSG00000117118, ENSG00000154723, ENSG00000198015, ENSG00000144381, ENSG00000132591, ENSG00000181192, ENSG00000087088, ENSG00000089127, ENSG00000103423, ENSG00000162851, ENSG00000196860, ENSG00000100890, ENSG00000185414, ENSG00000075239, ENSG00000148187, ENSG00000089163, ENSG00000167136, ENSG00000115364, ENSG00000181991, ENSG00000128928, ENSG00000104823, ENSG00000097007, ENSG00000162600, ENSG00000132153, ENSG00000213465, ENSG00000117481, ENSG00000151366, ENSG00000166411, ENSG00000175581, ENSG00000134056, ENSG00000116353, ENSG00000171552, ENSG00000118412, ENSG00000116288, ENSG00000166855, ENSG00000105364, ENSG00000128626, ENSG00000181061, ENSG00000155463, ENSG00000104325, ENSG00000130159, ENSG00000137806, ENSG00000196683, ENSG00000123472, ENSG00000164919, ENSG00000135828, ENSG00000179271, ENSG00000103018, ENSG00000169599, ENSG00000103356, ENSG00000116898, ENSG00000186010, ENSG00000184752, ENSG00000096717, ENSG00000179364, ENSG00000165637, ENSG00000063854, ENSG00000167113, ENSG00000050426, ENSG00000171612, ENSG00000105701, ENSG00000125375, ENSG00000181610, ENSG00000065911, ENSG00000124370, ENSG00000102738, ENSG00000132199, ENSG00000108443	581	875	15329	2.5629997541185148	5.961897642237091E-13	5.961897642237091E-13	2.2870594307278225E-12
UP_KEYWORDS	Acetylation	179	29.98324958123953	6.700501437952892E-13	ENSG00000112739, ENSG00000144909, ENSG00000114054, ENSG00000138385, ENSG00000125743, ENSG00000110768, ENSG00000111481, ENSG00000101335, ENSG00000076248, ENSG00000133884, ENSG00000142230, ENSG00000167578, ENSG00000111581, ENSG00000161920, ENSG00000156502, ENSG00000140650, ENSG00000117118, ENSG00000120253, ENSG00000165118, ENSG00000131747, ENSG00000123992, ENSG00000115486, ENSG00000115216, ENSG00000105968, ENSG00000106263, ENSG00000087088, ENSG00000117448, ENSG00000162368, ENSG00000142039, ENSG00000103423, ENSG00000197530, ENSG00000170889, ENSG00000185201, ENSG00000075239, ENSG00000076650, ENSG00000125450, ENSG00000168395, ENSG00000143155, ENSG00000165732, ENSG00000142655, ENSG00000128928, ENSG00000174928, ENSG00000104823, ENSG00000135148, ENSG00000158545, ENSG00000055332, ENSG00000166855, ENSG00000116288, ENSG00000143228, ENSG00000105568, ENSG00000142252, ENSG00000103415, ENSG00000181061, ENSG00000092439, ENSG00000125826, ENSG00000069974, ENSG00000095002, ENSG00000126698, ENSG00000101413, ENSG00000105220, ENSG00000104325, ENSG00000153044, ENSG00000175575, ENSG00000123473, ENSG00000104064, ENSG00000135828, ENSG00000128829, ENSG00000130429, ENSG00000103018, ENSG00000103356, ENSG00000176390, ENSG00000157349, ENSG00000184752, ENSG00000132780, ENSG00000086666, ENSG00000096717, ENSG00000110063, ENSG00000165637, ENSG00000063854, ENSG00000087274, ENSG00000125977, ENSG00000025293, ENSG00000182446, ENSG00000124370, ENSG00000095380, ENSG00000100934, ENSG00000095261, ENSG00000127616, ENSG00000154710, ENSG00000104687, ENSG00000116786, ENSG00000178741, ENSG00000160439, ENSG00000115750, ENSG00000177556, ENSG00000124151, ENSG00000156831, ENSG00000164978, ENSG00000138346, ENSG00000129932, ENSG00000101367, ENSG00000067704, ENSG00000105738, ENSG00000169682, ENSG00000145191, ENSG00000179115, ENSG00000183155, ENSG00000146731, ENSG00000154723, ENSG00000044115, ENSG00000146733, ENSG00000179295, ENSG00000124562, ENSG00000074800, ENSG00000129518, ENSG00000108424, ENSG00000169696, ENSG00000144381, ENSG00000103274, ENSG00000105514, ENSG00000198554, ENSG00000100714, ENSG00000124164, ENSG00000125991, ENSG00000111652, ENSG00000101109, ENSG00000162813, ENSG00000136940, ENSG00000104472, ENSG00000082898, ENSG00000112984, ENSG00000198056, ENSG00000073111, ENSG00000179918, ENSG00000097007, ENSG00000124208, ENSG00000078747, ENSG00000166411, ENSG00000134056, ENSG00000205339, ENSG00000134057, ENSG00000116353, ENSG00000163719, ENSG00000118412, ENSG00000105618, ENSG00000056097, ENSG00000138160, ENSG00000119640, ENSG00000136715, ENSG00000088325, ENSG00000184270, ENSG00000158104, ENSG00000196975, ENSG00000064012, ENSG00000198492, ENSG00000100983, ENSG00000110958, ENSG00000116752, ENSG00000117758, ENSG00000141030, ENSG00000075702, ENSG00000150459, ENSG00000168872, ENSG00000103319, ENSG00000186010, ENSG00000105281, ENSG00000171681, ENSG00000117614, ENSG00000168488, ENSG00000181610, ENSG00000171490, ENSG00000182481, ENSG00000065911, ENSG00000175216, ENSG00000176407, ENSG00000103194, ENSG00000126522, ENSG00000025800, ENSG00000108443	581	2857	15329	1.6530290369940184	2.3986701513933895E-10	1.1993350756966947E-10	9.194534023038159E-10
UP_SEQ_FEATURE	transit peptide:Mitochondrion	48	8.040201005025125	3.15337382175501E-12	ENSG00000115364, ENSG00000181991, ENSG00000128928, ENSG00000104687, ENSG00000162600, ENSG00000114054, ENSG00000104823, ENSG00000178741, ENSG00000136521, ENSG00000175581, ENSG00000166411, ENSG00000130770, ENSG00000116353, ENSG00000166855, ENSG00000128626, ENSG00000067704, ENSG00000213965, ENSG00000116221, ENSG00000155463, ENSG00000156502, ENSG00000104325, ENSG00000130159, ENSG00000117862, ENSG00000137806, ENSG00000174990, ENSG00000123472, ENSG00000154723, ENSG00000117118, ENSG00000169599, ENSG00000103356, ENSG00000198015, ENSG00000116898, ENSG00000144381, ENSG00000181192, ENSG00000063854, ENSG00000167113, ENSG00000103423, ENSG00000125375, ENSG00000162851, ENSG00000065911, ENSG00000124370, ENSG00000100890, ENSG00000075239, ENSG00000102738, ENSG00000185414, ENSG00000148187, ENSG00000089163, ENSG00000167136	580	394	15218	3.1964992123227725	4.102529760352525E-9	4.102529760352525E-9	5.14920328598123E-9
UP_KEYWORDS	Transit peptide	48	8.040201005025125	1.2509866035413028E-10	ENSG00000115364, ENSG00000181991, ENSG00000128928, ENSG00000104687, ENSG00000162600, ENSG00000114054, ENSG00000104823, ENSG00000178741, ENSG00000136521, ENSG00000117481, ENSG00000175581, ENSG00000166411, ENSG00000130770, ENSG00000116353, ENSG00000166855, ENSG00000128626, ENSG00000067704, ENSG00000116221, ENSG00000155463, ENSG00000156502, ENSG00000104325, ENSG00000130159, ENSG00000137806, ENSG00000174990, ENSG00000123472, ENSG00000154723, ENSG00000117118, ENSG00000169599, ENSG00000103356, ENSG00000198015, ENSG00000116898, ENSG00000132591, ENSG00000144381, ENSG00000181192, ENSG00000063854, ENSG00000167113, ENSG00000103423, ENSG00000125375, ENSG00000162851, ENSG00000065911, ENSG00000124370, ENSG00000100890, ENSG00000075239, ENSG00000102738, ENSG00000185414, ENSG00000148187, ENSG00000089163, ENSG00000167136	581	440	15329	2.8782350179940543	4.4785336883457205E-8	1.492844581285624E-8	1.7166963406367586E-7
GOTERM_CC_DIRECT	GO:0005739~mitochondrion	84	14.07035175879397	1.2581438397702888E-10	ENSG00000125741, ENSG00000104687, ENSG00000114054, ENSG00000176890, ENSG00000136521, ENSG00000130770, ENSG00000188603, ENSG00000076248, ENSG00000160439, ENSG00000139437, ENSG00000197256, ENSG00000126709, ENSG00000067704, ENSG00000106012, ENSG00000116221, ENSG00000178096, ENSG00000156502, ENSG00000174990, ENSG00000154723, ENSG00000117118, ENSG00000130349, ENSG00000179295, ENSG00000198015, ENSG00000132591, ENSG00000144381, ENSG00000134815, ENSG00000105514, ENSG00000181192, ENSG00000100714, ENSG00000087088, ENSG00000089127, ENSG00000101473, ENSG00000134086, ENSG00000103423, ENSG00000162851, ENSG00000100890, ENSG00000075239, ENSG00000185414, ENSG00000148187, ENSG00000089163, ENSG00000167136, ENSG00000181991, ENSG00000128928, ENSG00000097007, ENSG00000104823, ENSG00000132153, ENSG00000135002, ENSG00000166411, ENSG00000134056, ENSG00000116353, ENSG00000171552, ENSG00000172113, ENSG00000118412, ENSG00000116288, ENSG00000166855, ENSG00000105364, ENSG00000128626, ENSG00000105568, ENSG00000213965, ENSG00000064012, ENSG00000063761, ENSG00000155463, ENSG00000156990, ENSG00000104325, ENSG00000130159, ENSG00000196683, ENSG00000123472, ENSG00000164919, ENSG00000038274, ENSG00000179271, ENSG00000169599, ENSG00000103356, ENSG00000116898, ENSG00000186010, ENSG00000096717, ENSG00000110063, ENSG00000179364, ENSG00000165637, ENSG00000167113, ENSG00000181610, ENSG00000065911, ENSG00000102738, ENSG00000132199, ENSG00000108443	539	1070	14343	2.089039932030586	5.598738817003124E-8	5.598738817003124E-8	1.782074710021675E-7
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	143	23.953098827470686	1.5385930882932173E-10	ENSG00000112739, ENSG00000176890, ENSG00000125743, ENSG00000110768, ENSG00000076248, ENSG00000124614, ENSG00000133884, ENSG00000089053, ENSG00000142230, ENSG00000177971, ENSG00000178028, ENSG00000160392, ENSG00000111581, ENSG00000023608, ENSG00000117118, ENSG00000131747, ENSG00000123992, ENSG00000139372, ENSG00000215883, ENSG00000115216, ENSG00000106263, ENSG00000166797, ENSG00000173226, ENSG00000163811, ENSG00000170889, ENSG00000175087, ENSG00000181817, ENSG00000110801, ENSG00000168395, ENSG00000165732, ENSG00000128928, ENSG00000136819, ENSG00000158545, ENSG00000167967, ENSG00000163125, ENSG00000110711, ENSG00000166855, ENSG00000206560, ENSG00000144554, ENSG00000156802, ENSG00000142252, ENSG00000095002, ENSG00000126698, ENSG00000101413, ENSG00000105220, ENSG00000104325, ENSG00000153044, ENSG00000104064, ENSG00000083093, ENSG00000173614, ENSG00000120798, ENSG00000144231, ENSG00000169599, ENSG00000125630, ENSG00000132780, ENSG00000096717, ENSG00000110063, ENSG00000087274, ENSG00000025293, ENSG00000178691, ENSG00000182446, ENSG00000174943, ENSG00000077254, ENSG00000095261, ENSG00000127616, ENSG00000058600, ENSG00000119596, ENSG00000136521, ENSG00000184900, ENSG00000175467, ENSG00000213780, ENSG00000120334, ENSG00000115750, ENSG00000124151, ENSG00000156831, ENSG00000117360, ENSG00000176386, ENSG00000131508, ENSG00000077348, ENSG00000060339, ENSG00000138346, ENSG00000010803, ENSG00000142528, ENSG00000144161, ENSG00000173757, ENSG00000180228, ENSG00000155868, ENSG00000124562, ENSG00000197780, ENSG00000137574, ENSG00000062822, ENSG00000108424, ENSG00000169696, ENSG00000089022, ENSG00000148572, ENSG00000198554, ENSG00000014138, ENSG00000134086, ENSG00000111652, ENSG00000198625, ENSG00000082898, ENSG00000112984, ENSG00000198056, ENSG00000073111, ENSG00000196584, ENSG00000097007, ENSG00000131013, ENSG00000205339, ENSG00000186141, ENSG00000134057, ENSG00000090013, ENSG00000150990, ENSG00000105619, ENSG00000105618, ENSG00000056097, ENSG00000136715, ENSG00000088325, ENSG00000120656, ENSG00000104856, ENSG00000064012, ENSG00000115163, ENSG00000130159, ENSG00000135521, ENSG00000100982, ENSG00000110958, ENSG00000116752, ENSG00000141030, ENSG00000123219, ENSG00000150459, ENSG00000167088, ENSG00000159352, ENSG00000105287, ENSG00000186010, ENSG00000171681, ENSG00000108651, ENSG00000182481, ENSG00000141759, ENSG00000101255, ENSG00000163877, ENSG00000132950, ENSG00000103194, ENSG00000025800, ENSG00000108443	539	2280	14343	1.6689849624060151	6.846736777532669E-8	3.423368444277486E-8	2.1793115090318338E-7
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	41	6.867671691792294	4.4947672486661524E-10	ENSG00000115364, ENSG00000181991, ENSG00000162600, ENSG00000176890, ENSG00000178741, ENSG00000136521, ENSG00000125648, ENSG00000175581, ENSG00000151366, ENSG00000134056, ENSG00000160439, ENSG00000171552, ENSG00000166855, ENSG00000105364, ENSG00000128626, ENSG00000181061, ENSG00000116221, ENSG00000169682, ENSG00000155463, ENSG00000130159, ENSG00000137806, ENSG00000164919, ENSG00000154723, ENSG00000117118, ENSG00000103018, ENSG00000198015, ENSG00000116898, ENSG00000132591, ENSG00000144381, ENSG00000186010, ENSG00000184752, ENSG00000165637, ENSG00000171612, ENSG00000050426, ENSG00000167113, ENSG00000125375, ENSG00000181610, ENSG00000102738, ENSG00000185414, ENSG00000075239, ENSG00000089163	539	354	14343	3.0819942769095308	2.0001710177020016E-7	6.667237173463292E-8	6.366530858059605E-7
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	68	11.390284757118927	1.4069978114871162E-7	ENSG00000112739, ENSG00000138385, ENSG00000119596, ENSG00000125743, ENSG00000175467, ENSG00000124614, ENSG00000117360, ENSG00000060339, ENSG00000177971, ENSG00000101367, ENSG00000106638, ENSG00000116221, ENSG00000144161, ENSG00000156502, ENSG00000179115, ENSG00000180228, ENSG00000146731, ENSG00000044115, ENSG00000131747, ENSG00000124562, ENSG00000074800, ENSG00000108424, ENSG00000198015, ENSG00000132591, ENSG00000144381, ENSG00000134815, ENSG00000132603, ENSG00000163811, ENSG00000162851, ENSG00000170889, ENSG00000124228, ENSG00000165732, ENSG00000181991, ENSG00000147905, ENSG00000132153, ENSG00000158545, ENSG00000055332, ENSG00000131013, ENSG00000137656, ENSG00000150990, ENSG00000105618, ENSG00000105364, ENSG00000128626, ENSG00000056097, ENSG00000185298, ENSG00000181019, ENSG00000156990, ENSG00000144048, ENSG00000198492, ENSG00000150459, ENSG00000167088, ENSG00000159352, ENSG00000116898, ENSG00000075975, ENSG00000117614, ENSG00000168488, ENSG00000087274, ENSG00000171490, ENSG00000181610, ENSG00000182481, ENSG00000125977, ENSG00000167112, ENSG00000152520, ENSG00000163877, ENSG00000102738, ENSG00000103194, ENSG00000180098, ENSG00000129347	524	900	13540	1.9523324851569126	9.63747125333203E-5	9.63747125333203E-5	2.115684482828506E-4
GOTERM_CC_DIRECT	GO:0005759~mitochondrial matrix	30	5.025125628140704	4.0991228010726217E-7	ENSG00000128928, ENSG00000104687, ENSG00000114054, ENSG00000176890, ENSG00000213465, ENSG00000166411, ENSG00000171552, ENSG00000164978, ENSG00000116288, ENSG00000166855, ENSG00000067704, ENSG00000104325, ENSG00000156502, ENSG00000174990, ENSG00000135828, ENSG00000179271, ENSG00000103356, ENSG00000132591, ENSG00000144381, ENSG00000181192, ENSG00000166321, ENSG00000063854, ENSG00000103423, ENSG00000162851, ENSG00000065911, ENSG00000124370, ENSG00000100890, ENSG00000075239, ENSG00000148187, ENSG00000089163	539	272	14343	2.9349694423223833	1.8239436616407367E-4	4.560171072021113E-5	5.806112482353853E-4
GOTERM_MF_DIRECT	GO:0005515~protein binding	340	56.951423785594635	4.131288814859781E-7	ENSG00000139988, ENSG00000138385, ENSG00000087076, ENSG00000110768, ENSG00000124614, ENSG00000076248, ENSG00000171222, ENSG00000086598, ENSG00000133884, ENSG00000167578, ENSG00000160392, ENSG00000126870, ENSG00000178096, ENSG00000161920, ENSG00000115514, ENSG00000140650, ENSG00000117118, ENSG00000120253, ENSG00000189171, ENSG00000131747, ENSG00000171135, ENSG00000160678, ENSG00000139372, ENSG00000123992, ENSG00000163093, ENSG00000132603, ENSG00000106263, ENSG00000087088, ENSG00000143294, ENSG00000136159, ENSG00000006837, ENSG00000183283, ENSG00000197530, ENSG00000011422, ENSG00000170889, ENSG00000188010, ENSG00000156374, ENSG00000089163, ENSG00000124228, ENSG00000143155, ENSG00000165732, ENSG00000099785, ENSG00000170262, ENSG00000103496, ENSG00000013441, ENSG00000104823, ENSG00000167967, ENSG00000116288, ENSG00000166855, ENSG00000144554, ENSG00000116514, ENSG00000069974, ENSG00000099364, ENSG00000136280, ENSG00000095002, ENSG00000168434, ENSG00000101413, ENSG00000153044, ENSG00000137806, ENSG00000196683, ENSG00000141736, ENSG00000123472, ENSG00000123473, ENSG00000083093, ENSG00000116922, ENSG00000104814, ENSG00000062725, ENSG00000176390, ENSG00000089041, ENSG00000079616, ENSG00000157349, ENSG00000132780, ENSG00000110063, ENSG00000063854, ENSG00000174943, ENSG00000085433, ENSG00000077254, ENSG00000100934, ENSG00000095261, ENSG00000154710, ENSG00000155876, ENSG00000143457, ENSG00000178741, ENSG00000119596, ENSG00000184900, ENSG00000130772, ENSG00000175467, ENSG00000120334, ENSG00000115750, ENSG00000143387, ENSG00000124151, ENSG00000156831, ENSG00000117360, ENSG00000131508, ENSG00000077348, ENSG00000060339, ENSG00000118705, ENSG00000149636, ENSG00000138346, ENSG00000129932, ENSG00000134070, ENSG00000106012, ENSG00000197714, ENSG00000142528, ENSG00000144161, ENSG00000173757, ENSG00000179115, ENSG00000180228, ENSG00000183155, ENSG00000011454, ENSG00000088727, ENSG00000044115, ENSG00000124562, ENSG00000155868, ENSG00000074800, ENSG00000137574, ENSG00000198551, ENSG00000132591, ENSG00000198554, ENSG00000100714, ENSG00000124164, ENSG00000134086, ENSG00000111652, ENSG00000168040, ENSG00000078967, ENSG00000082898, ENSG00000081870, ENSG00000101082, ENSG00000196584, ENSG00000147905, ENSG00000139714, ENSG00000197162, ENSG00000117481, ENSG00000136436, ENSG00000175581, ENSG00000186141, ENSG00000134057, ENSG00000161664, ENSG00000118412, ENSG00000141977, ENSG00000186666, ENSG00000056097, ENSG00000185298, ENSG00000088325, ENSG00000120656, ENSG00000064012, ENSG00000196975, ENSG00000155463, ENSG00000115163, ENSG00000156990, ENSG00000157193, ENSG00000130159, ENSG00000100983, ENSG00000075702, ENSG00000141030, ENSG00000115998, ENSG00000126001, ENSG00000125149, ENSG00000167088, ENSG00000168872, ENSG00000105287, ENSG00000115762, ENSG00000186010, ENSG00000105281, ENSG00000168488, ENSG00000181610, ENSG00000155329, ENSG00000104957, ENSG00000189114, ENSG00000137312, ENSG00000126522, ENSG00000105248, ENSG00000112739, ENSG00000125648, ENSG00000125743, ENSG00000125746, ENSG00000139437, ENSG00000142230, ENSG00000126709, ENSG00000101460, ENSG00000177971, ENSG00000154589, ENSG00000140830, ENSG00000178028, ENSG00000111581, ENSG00000156502, ENSG00000117862, ENSG00000148337, ENSG00000163154, ENSG00000170802, ENSG00000115216, ENSG00000188735, ENSG00000117448, ENSG00000166797, ENSG00000101473, ENSG00000103423, ENSG00000113719, ENSG00000131023, ENSG00000173226, ENSG00000163811, ENSG00000102858, ENSG00000175087, ENSG00000181817, ENSG00000125450, ENSG00000139908, ENSG00000168395, ENSG00000110801, ENSG00000142655, ENSG00000026950, ENSG00000135148, ENSG00000136819, ENSG00000158286, ENSG00000158545, ENSG00000105223, ENSG00000055332, ENSG00000110711, ENSG00000143228, ENSG00000206560, ENSG00000128626, ENSG00000105364, ENSG00000104894, ENSG00000142252, ENSG00000103415, ENSG00000105568, ENSG00000125826, ENSG00000175575, ENSG00000196405, ENSG00000112343, ENSG00000104064, ENSG00000143222, ENSG00000104691, ENSG00000038274, ENSG00000135828, ENSG00000173614, ENSG00000120798, ENSG00000103018, ENSG00000169599, ENSG00000127666, ENSG00000125630, ENSG00000096717, ENSG00000086666, ENSG00000110921, ENSG00000165637, ENSG00000185880, ENSG00000125977, ENSG00000025293, ENSG00000182446, ENSG00000178691, ENSG00000124370, ENSG00000102738, ENSG00000167118, ENSG00000104695, ENSG00000127616, ENSG00000150967, ENSG00000176485, ENSG00000116786, ENSG00000213780, ENSG00000188603, ENSG00000177556, ENSG00000153029, ENSG00000164978, ENSG00000176386, ENSG00000197256, ENSG00000173137, ENSG00000172426, ENSG00000101367, ENSG00000010803, ENSG00000169682, ENSG00000103365, ENSG00000145191, ENSG00000146731, ENSG00000179295, ENSG00000197780, ENSG00000131061, ENSG00000108424, ENSG00000062822, ENSG00000169696, ENSG00000144381, ENSG00000086015, ENSG00000103274, ENSG00000089022, ENSG00000106993, ENSG00000148572, ENSG00000081177, ENSG00000089127, ENSG00000101109, ENSG00000105072, ENSG00000136940, ENSG00000198382, ENSG00000104472, ENSG00000198625, ENSG00000112984, ENSG00000167136, ENSG00000073111, ENSG00000097007, ENSG00000105329, ENSG00000132153, ENSG00000213465, ENSG00000078747, ENSG00000136643, ENSG00000205339, ENSG00000185324, ENSG00000171552, ENSG00000163719, ENSG00000137656, ENSG00000105619, ENSG00000175206, ENSG00000105618, ENSG00000156795, ENSG00000042753, ENSG00000181019, ENSG00000104856, ENSG00000135521, ENSG00000198492, ENSG00000110958, ENSG00000116752, ENSG00000117758, ENSG00000179271, ENSG00000123219, ENSG00000150459, ENSG00000174165, ENSG00000159352, ENSG00000171681, ENSG00000075975, ENSG00000117614, ENSG00000050426, ENSG00000105701, ENSG00000167604, ENSG00000182481, ENSG00000175216, ENSG00000204815, ENSG00000068079, ENSG00000152520, ENSG00000163877, ENSG00000101255, ENSG00000141759, ENSG00000132950, ENSG00000103194, ENSG00000025800, ENSG00000108443	524	7351	13540	1.1951429986676787	2.829533034024445E-4	1.4148666093882767E-4	6.212153888629501E-4
