Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
INTERPRO	IPR001909:Krueppel-associated box	90	81.81818181818183	5.187925734785778E-136	ENSG00000185869, ENSG00000198521, ENSG00000173041, ENSG00000198131, ENSG00000135747, ENSG00000145908, ENSG00000196724, ENSG00000180479, ENSG00000120784, ENSG00000197808, ENSG00000197566, ENSG00000005801, ENSG00000213988, ENSG00000174652, ENSG00000197619, ENSG00000177932, ENSG00000167637, ENSG00000166526, ENSG00000171469, ENSG00000171466, ENSG00000188227, ENSG00000169131, ENSG00000083844, ENSG00000197857, ENSG00000144026, ENSG00000171817, ENSG00000081386, ENSG00000188295, ENSG00000196458, ENSG00000196597, ENSG00000214652, ENSG00000083817, ENSG00000166704, ENSG00000182986, ENSG00000197016, ENSG00000198093, ENSG00000170949, ENSG00000167232, ENSG00000167562, ENSG00000198482, ENSG00000186300, ENSG00000196867, ENSG00000167766, ENSG00000197937, ENSG00000181007, ENSG00000196387, ENSG00000198342, ENSG00000142556, ENSG00000196967, ENSG00000198046, ENSG00000204604, ENSG00000197128, ENSG00000083828, ENSG00000198440, ENSG00000167555, ENSG00000197124, ENSG00000167554, ENSG00000196110, ENSG00000182903, ENSG00000081665, ENSG00000197933, ENSG00000186020, ENSG00000132010, ENSG00000198393, ENSG00000198453, ENSG00000188283, ENSG00000197647, ENSG00000178187, ENSG00000198040, ENSG00000142065, ENSG00000197372, ENSG00000198538, ENSG00000204611, ENSG00000171649, ENSG00000186017, ENSG00000176024, ENSG00000196437, ENSG00000147124, ENSG00000164631, ENSG00000128000, ENSG00000171606, ENSG00000130818, ENSG00000197608, ENSG00000090612, ENSG00000167785, ENSG00000105708, ENSG00000197863, ENSG00000188033, ENSG00000176222, ENSG00000196267	107	312	14553	39.23346513299784	1.712015492479307E-134	1.712015492479307E-134	4.528288592518213E-133
UP_SEQ_FEATURE	zinc finger region:C2H2-type 8	91	82.72727272727273	3.729099638591385E-132	ENSG00000185869, ENSG00000198521, ENSG00000173041, ENSG00000198131, ENSG00000145908, ENSG00000196724, ENSG00000180479, ENSG00000120784, ENSG00000197808, ENSG00000197566, ENSG00000005801, ENSG00000174652, ENSG00000197619, ENSG00000177932, ENSG00000167637, ENSG00000166526, ENSG00000171469, ENSG00000171466, ENSG00000169131, ENSG00000083844, ENSG00000197857, ENSG00000171817, ENSG00000081386, ENSG00000188295, ENSG00000196458, ENSG00000196597, ENSG00000214652, ENSG00000083817, ENSG00000166704, ENSG00000186446, ENSG00000182986, ENSG00000197016, ENSG00000198093, ENSG00000170949, ENSG00000167232, ENSG00000198482, ENSG00000186300, ENSG00000196867, ENSG00000167766, ENSG00000197937, ENSG00000181007, ENSG00000196387, ENSG00000198342, ENSG00000142556, ENSG00000196967, ENSG00000198046, ENSG00000204604, ENSG00000197128, ENSG00000083828, ENSG00000198440, ENSG00000167555, ENSG00000197124, ENSG00000167554, ENSG00000196110, ENSG00000182903, ENSG00000081665, ENSG00000197933, ENSG00000186020, ENSG00000132010, ENSG00000198393, ENSG00000198453, ENSG00000213762, ENSG00000188283, ENSG00000197647, ENSG00000127903, ENSG00000178187, ENSG00000198040, ENSG00000181894, ENSG00000189190, ENSG00000142065, ENSG00000197372, ENSG00000197961, ENSG00000198538, ENSG00000204611, ENSG00000171649, ENSG00000186017, ENSG00000176024, ENSG00000147124, ENSG00000196437, ENSG00000164631, ENSG00000198939, ENSG00000128000, ENSG00000130818, ENSG00000197608, ENSG00000090612, ENSG00000167785, ENSG00000105708, ENSG00000197863, ENSG00000188033, ENSG00000176222, ENSG00000196267	108	367	15218	34.93889393480674	7.346326288025028E-130	7.346326288025028E-130	4.66247118438836E-129
UP_SEQ_FEATURE	zinc finger region:C2H2-type 7	92	83.63636363636363	2.011694068854508E-131	ENSG00000185869, ENSG00000198521, ENSG00000173041, ENSG00000198131, ENSG00000145908, ENSG00000196724, ENSG00000180479, ENSG00000120784, ENSG00000197808, ENSG00000197566, ENSG00000005801, ENSG00000174652, ENSG00000197619, ENSG00000177932, ENSG00000167637, ENSG00000166526, ENSG00000171469, ENSG00000171466, ENSG00000169131, ENSG00000083844, ENSG00000197857, ENSG00000144026, ENSG00000171817, ENSG00000081386, ENSG00000188295, ENSG00000196458, ENSG00000196597, ENSG00000214652, ENSG00000083817, ENSG00000166704, ENSG00000186446, ENSG00000182986, ENSG00000197016, ENSG00000198093, ENSG00000170949, ENSG00000167232, ENSG00000167562, ENSG00000198482, ENSG00000186300, ENSG00000196867, ENSG00000167766, ENSG00000197937, ENSG00000181007, ENSG00000196387, ENSG00000198342, ENSG00000142556, ENSG00000198046, ENSG00000204604, ENSG00000197128, ENSG00000083828, ENSG00000198440, ENSG00000167555, ENSG00000197124, ENSG00000167554, ENSG00000196110, ENSG00000182903, ENSG00000081665, ENSG00000197933, ENSG00000186020, ENSG00000132010, ENSG00000198393, ENSG00000198453, ENSG00000213762, ENSG00000188283, ENSG00000197647, ENSG00000127903, ENSG00000178187, ENSG00000198040, ENSG00000181894, ENSG00000189190, ENSG00000142065, ENSG00000197372, ENSG00000197961, ENSG00000198538, ENSG00000204611, ENSG00000171649, ENSG00000186017, ENSG00000176024, ENSG00000147124, ENSG00000196437, ENSG00000164631, ENSG00000198939, ENSG00000128000, ENSG00000130818, ENSG00000197608, ENSG00000090612, ENSG00000167785, ENSG00000105708, ENSG00000197863, ENSG00000188033, ENSG00000176222, ENSG00000196267	108	394	15218	32.902237262643354	3.9630373156433804E-129	1.9815186578216902E-129	2.515209175634169E-128
UP_SEQ_FEATURE	zinc finger region:C2H2-type 6	93	84.54545454545455	2.341924497021967E-130	ENSG00000185869, ENSG00000198521, ENSG00000173041, ENSG00000198131, ENSG00000145908, ENSG00000196724, ENSG00000180479, ENSG00000120784, ENSG00000197808, ENSG00000197566, ENSG00000005801, ENSG00000174652, ENSG00000197619, ENSG00000177932, ENSG00000167637, ENSG00000166526, ENSG00000171469, ENSG00000171466, ENSG00000169131, ENSG00000083844, ENSG00000197857, ENSG00000144026, ENSG00000171817, ENSG00000081386, ENSG00000188295, ENSG00000196458, ENSG00000196597, ENSG00000214652, ENSG00000083817, ENSG00000166704, ENSG00000186446, ENSG00000182986, ENSG00000197016, ENSG00000198093, ENSG00000170949, ENSG00000167232, ENSG00000167562, ENSG00000198482, ENSG00000186300, ENSG00000196867, ENSG00000167766, ENSG00000197937, ENSG00000181007, ENSG00000196387, ENSG00000198342, ENSG00000142556, ENSG00000196967, ENSG00000198046, ENSG00000204604, ENSG00000197128, ENSG00000083828, ENSG00000198440, ENSG00000167555, ENSG00000197124, ENSG00000167554, ENSG00000196110, ENSG00000182903, ENSG00000081665, ENSG00000197933, ENSG00000186020, ENSG00000132010, ENSG00000198393, ENSG00000198453, ENSG00000213762, ENSG00000188283, ENSG00000197647, ENSG00000127903, ENSG00000178187, ENSG00000198040, ENSG00000181894, ENSG00000189190, ENSG00000142065, ENSG00000197372, ENSG00000197961, ENSG00000198538, ENSG00000204611, ENSG00000171649, ENSG00000186017, ENSG00000176024, ENSG00000147124, ENSG00000196437, ENSG00000164631, ENSG00000198939, ENSG00000128000, ENSG00000130818, ENSG00000197608, ENSG00000090612, ENSG00000167785, ENSG00000105708, ENSG00000197863, ENSG00000188033, ENSG00000176222, ENSG00000196267	108	426	15218	30.761476264997395	4.613591259133275E-128	1.5378637530444252E-128	2.928094323460524E-127
UP_SEQ_FEATURE	domain:KRAB	84	76.36363636363637	5.611313873057512E-127	ENSG00000185869, ENSG00000198521, ENSG00000173041, ENSG00000198131, ENSG00000145908, ENSG00000196724, ENSG00000180479, ENSG00000120784, ENSG00000197808, ENSG00000197566, ENSG00000005801, ENSG00000213988, ENSG00000174652, ENSG00000197619, ENSG00000177932, ENSG00000167637, ENSG00000166526, ENSG00000171469, ENSG00000171466, ENSG00000188227, ENSG00000169131, ENSG00000083844, ENSG00000197857, ENSG00000144026, ENSG00000171817, ENSG00000081386, ENSG00000188295, ENSG00000196458, ENSG00000196597, ENSG00000214652, ENSG00000083817, ENSG00000166704, ENSG00000182986, ENSG00000197016, ENSG00000198093, ENSG00000170949, ENSG00000167232, ENSG00000167562, ENSG00000198482, ENSG00000186300, ENSG00000197937, ENSG00000181007, ENSG00000196387, ENSG00000198342, ENSG00000142556, ENSG00000196967, ENSG00000198046, ENSG00000204604, ENSG00000197128, ENSG00000083828, ENSG00000198440, ENSG00000167555, ENSG00000197124, ENSG00000167554, ENSG00000196110, ENSG00000081665, ENSG00000197933, ENSG00000186020, ENSG00000132010, ENSG00000198393, ENSG00000198453, ENSG00000188283, ENSG00000197647, ENSG00000178187, ENSG00000198040, ENSG00000142065, ENSG00000197372, ENSG00000198538, ENSG00000204611, ENSG00000171649, ENSG00000186017, ENSG00000176024, ENSG00000196437, ENSG00000147124, ENSG00000164631, ENSG00000128000, ENSG00000130818, ENSG00000090612, ENSG00000167785, ENSG00000105708, ENSG00000197863, ENSG00000188033, ENSG00000176222, ENSG00000196267	108	280	15218	42.272222222222226	1.1054288329923299E-124	2.7635720824808247E-125	7.01579249021403E-124
INTERPRO	IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain	98	89.0909090909091	8.56530792641777E-127	ENSG00000198521, ENSG00000185869, ENSG00000173041, ENSG00000198131, ENSG00000145908, ENSG00000196724, ENSG00000120784, ENSG00000180479, ENSG00000166526, ENSG00000169131, ENSG00000188227, ENSG00000197857, ENSG00000171817, ENSG00000144026, ENSG00000188295, ENSG00000214652, ENSG00000196597, ENSG00000083817, ENSG00000166704, ENSG00000197016, ENSG00000198093, ENSG00000170949, ENSG00000198482, ENSG00000167562, ENSG00000167766, ENSG00000197937, ENSG00000181007, ENSG00000198342, ENSG00000198046, ENSG00000083828, ENSG00000197128, ENSG00000197124, ENSG00000182903, ENSG00000196110, ENSG00000197933, ENSG00000081665, ENSG00000198453, ENSG00000197647, ENSG00000178187, ENSG00000198040, ENSG00000142065, ENSG00000171649, ENSG00000147124, ENSG00000130818, ENSG00000167785, ENSG00000197863, ENSG00000188033, ENSG00000010539, ENSG00000197808, ENSG00000197566, ENSG00000005801, ENSG00000213988, ENSG00000174652, ENSG00000167637, ENSG00000177932, ENSG00000197619, ENSG00000171469, ENSG00000171466, ENSG00000083844, ENSG00000081386, ENSG00000196458, ENSG00000186446, ENSG00000182986, ENSG00000167232, ENSG00000186300, ENSG00000196867, ENSG00000142556, ENSG00000196387, ENSG00000196967, ENSG00000196381, ENSG00000204604, ENSG00000198440, ENSG00000167555, ENSG00000167554, ENSG00000186020, ENSG00000132010, ENSG00000198393, ENSG00000188283, ENSG00000213762, ENSG00000127903, ENSG00000181894, ENSG00000189190, ENSG00000197372, ENSG00000197961, ENSG00000186017, ENSG00000204611, ENSG00000198538, ENSG00000196437, ENSG00000176024, ENSG00000128000, ENSG00000198939, ENSG00000164631, ENSG00000171606, ENSG00000197608, ENSG00000090612, ENSG00000105708, ENSG00000196267, ENSG00000176222	107	591	14553	22.553157170643768	2.826551615717864E-125	1.413275807858932E-125	7.476241595853336E-124
INTERPRO	IPR015880:Zinc finger, C2H2-like	98	89.0909090909091	9.893035419964446E-124	ENSG00000198521, ENSG00000185869, ENSG00000173041, ENSG00000198131, ENSG00000145908, ENSG00000196724, ENSG00000120784, ENSG00000180479, ENSG00000166526, ENSG00000169131, ENSG00000188227, ENSG00000197857, ENSG00000171817, ENSG00000144026, ENSG00000188295, ENSG00000214652, ENSG00000196597, ENSG00000083817, ENSG00000166704, ENSG00000197016, ENSG00000198093, ENSG00000170949, ENSG00000198482, ENSG00000167562, ENSG00000167766, ENSG00000197937, ENSG00000181007, ENSG00000198342, ENSG00000198046, ENSG00000083828, ENSG00000197128, ENSG00000197124, ENSG00000182903, ENSG00000196110, ENSG00000197933, ENSG00000081665, ENSG00000198453, ENSG00000197647, ENSG00000178187, ENSG00000198040, ENSG00000142065, ENSG00000171649, ENSG00000147124, ENSG00000130818, ENSG00000167785, ENSG00000197863, ENSG00000188033, ENSG00000010539, ENSG00000197808, ENSG00000197566, ENSG00000005801, ENSG00000213988, ENSG00000174652, ENSG00000167637, ENSG00000177932, ENSG00000197619, ENSG00000171469, ENSG00000171466, ENSG00000083844, ENSG00000081386, ENSG00000196458, ENSG00000186446, ENSG00000182986, ENSG00000167232, ENSG00000186300, ENSG00000196867, ENSG00000142556, ENSG00000196387, ENSG00000196967, ENSG00000196381, ENSG00000204604, ENSG00000198440, ENSG00000167555, ENSG00000167554, ENSG00000186020, ENSG00000132010, ENSG00000198393, ENSG00000188283, ENSG00000213762, ENSG00000127903, ENSG00000181894, ENSG00000189190, ENSG00000197372, ENSG00000197961, ENSG00000186017, ENSG00000204611, ENSG00000198538, ENSG00000196437, ENSG00000176024, ENSG00000128000, ENSG00000198939, ENSG00000164631, ENSG00000171606, ENSG00000197608, ENSG00000090612, ENSG00000105708, ENSG00000196267, ENSG00000176222	107	632	14553	21.090056784573523	3.264701688588267E-122	1.0882338961960891E-122	8.635150487452663E-121
UP_SEQ_FEATURE	zinc finger region:C2H2-type 9	85	77.27272727272727	6.30040851236734E-122	ENSG00000185869, ENSG00000198521, ENSG00000173041, ENSG00000198131, ENSG00000145908, ENSG00000196724, ENSG00000180479, ENSG00000120784, ENSG00000197808, ENSG00000197566, ENSG00000005801, ENSG00000174652, ENSG00000197619, ENSG00000177932, ENSG00000167637, ENSG00000171469, ENSG00000169131, ENSG00000083844, ENSG00000197857, ENSG00000171817, ENSG00000081386, ENSG00000188295, ENSG00000196458, ENSG00000196597, ENSG00000214652, ENSG00000083817, ENSG00000166704, ENSG00000186446, ENSG00000182986, ENSG00000197016, ENSG00000198093, ENSG00000170949, ENSG00000167232, ENSG00000198482, ENSG00000186300, ENSG00000196867, ENSG00000167766, ENSG00000197937, ENSG00000181007, ENSG00000196387, ENSG00000198342, ENSG00000142556, ENSG00000196967, ENSG00000198046, ENSG00000204604, ENSG00000197128, ENSG00000083828, ENSG00000198440, ENSG00000167555, ENSG00000197124, ENSG00000167554, ENSG00000182903, ENSG00000197933, ENSG00000186020, ENSG00000132010, ENSG00000198393, ENSG00000198453, ENSG00000213762, ENSG00000188283, ENSG00000197647, ENSG00000127903, ENSG00000178187, ENSG00000198040, ENSG00000181894, ENSG00000189190, ENSG00000142065, ENSG00000197372, ENSG00000197961, ENSG00000198538, ENSG00000204611, ENSG00000171649, ENSG00000176024, ENSG00000147124, ENSG00000196437, ENSG00000198939, ENSG00000128000, ENSG00000130818, ENSG00000197608, ENSG00000090612, ENSG00000167785, ENSG00000105708, ENSG00000197863, ENSG00000188033, ENSG00000176222, ENSG00000196267	108	334	15218	35.85966954978932	1.241180476936366E-119	2.482360953872732E-120	7.877363435074112E-119
UP_SEQ_FEATURE	zinc finger region:C2H2-type 5	91	82.72727272727273	2.0707795674174553E-121	ENSG00000185869, ENSG00000198521, ENSG00000173041, ENSG00000198131, ENSG00000145908, ENSG00000196724, ENSG00000010539, ENSG00000180479, ENSG00000197808, ENSG00000197566, ENSG00000005801, ENSG00000174652, ENSG00000197619, ENSG00000177932, ENSG00000167637, ENSG00000166526, ENSG00000171466, ENSG00000188227, ENSG00000169131, ENSG00000083844, ENSG00000197857, ENSG00000144026, ENSG00000171817, ENSG00000081386, ENSG00000188295, ENSG00000196458, ENSG00000196597, ENSG00000214652, ENSG00000083817, ENSG00000166704, ENSG00000186446, ENSG00000182986, ENSG00000197016, ENSG00000198093, ENSG00000170949, ENSG00000167232, ENSG00000167562, ENSG00000198482, ENSG00000186300, ENSG00000196867, ENSG00000167766, ENSG00000197937, ENSG00000196387, ENSG00000198342, ENSG00000142556, ENSG00000196967, ENSG00000204604, ENSG00000197128, ENSG00000083828, ENSG00000198440, ENSG00000167555, ENSG00000197124, ENSG00000167554, ENSG00000196110, ENSG00000081665, ENSG00000197933, ENSG00000186020, ENSG00000132010, ENSG00000198393, ENSG00000198453, ENSG00000213762, ENSG00000188283, ENSG00000197647, ENSG00000127903, ENSG00000178187, ENSG00000198040, ENSG00000181894, ENSG00000189190, ENSG00000142065, ENSG00000197372, ENSG00000197961, ENSG00000198538, ENSG00000204611, ENSG00000171649, ENSG00000186017, ENSG00000176024, ENSG00000147124, ENSG00000196437, ENSG00000164631, ENSG00000198939, ENSG00000128000, ENSG00000171606, ENSG00000130818, ENSG00000197608, ENSG00000090612, ENSG00000167785, ENSG00000105708, ENSG00000197863, ENSG00000188033, ENSG00000176222, ENSG00000196267	108	469	15218	27.340243228302928	4.079435747812387E-119	6.799059579687312E-120	2.589083424424428E-118
INTERPRO	IPR007087:Zinc finger, C2H2	98	89.0909090909091	2.7718879142172637E-121	ENSG00000198521, ENSG00000185869, ENSG00000173041, ENSG00000198131, ENSG00000145908, ENSG00000196724, ENSG00000120784, ENSG00000180479, ENSG00000166526, ENSG00000169131, ENSG00000188227, ENSG00000197857, ENSG00000171817, ENSG00000144026, ENSG00000188295, ENSG00000214652, ENSG00000196597, ENSG00000083817, ENSG00000166704, ENSG00000197016, ENSG00000198093, ENSG00000170949, ENSG00000198482, ENSG00000167562, ENSG00000167766, ENSG00000197937, ENSG00000181007, ENSG00000198342, ENSG00000198046, ENSG00000083828, ENSG00000197128, ENSG00000197124, ENSG00000182903, ENSG00000196110, ENSG00000197933, ENSG00000081665, ENSG00000198453, ENSG00000197647, ENSG00000178187, ENSG00000198040, ENSG00000142065, ENSG00000171649, ENSG00000147124, ENSG00000130818, ENSG00000167785, ENSG00000197863, ENSG00000188033, ENSG00000010539, ENSG00000197808, ENSG00000197566, ENSG00000005801, ENSG00000213988, ENSG00000174652, ENSG00000167637, ENSG00000177932, ENSG00000197619, ENSG00000171469, ENSG00000171466, ENSG00000083844, ENSG00000081386, ENSG00000196458, ENSG00000186446, ENSG00000182986, ENSG00000167232, ENSG00000186300, ENSG00000196867, ENSG00000142556, ENSG00000196387, ENSG00000196967, ENSG00000196381, ENSG00000204604, ENSG00000198440, ENSG00000167555, ENSG00000167554, ENSG00000186020, ENSG00000132010, ENSG00000198393, ENSG00000188283, ENSG00000213762, ENSG00000127903, ENSG00000181894, ENSG00000189190, ENSG00000197372, ENSG00000197961, ENSG00000186017, ENSG00000204611, ENSG00000198538, ENSG00000196437, ENSG00000176024, ENSG00000128000, ENSG00000198939, ENSG00000164631, ENSG00000171606, ENSG00000197608, ENSG00000090612, ENSG00000105708, ENSG00000196267, ENSG00000176222	107	667	14553	19.983382140705345	9.14723011691697E-120	2.2868075292292427E-120	2.419446434540651E-118
