Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	107	33.33333333333333	6.215000532637659E-15	ENSG00000163781, ENSG00000071794, ENSG00000099381, ENSG00000102908, ENSG00000110768, ENSG00000166333, ENSG00000100764, ENSG00000163002, ENSG00000221829, ENSG00000160392, ENSG00000082258, ENSG00000113456, ENSG00000172183, ENSG00000110700, ENSG00000163159, ENSG00000108468, ENSG00000163605, ENSG00000143947, ENSG00000175087, ENSG00000100084, ENSG00000110801, ENSG00000205571, ENSG00000166451, ENSG00000157014, ENSG00000158545, ENSG00000160917, ENSG00000138326, ENSG00000175305, ENSG00000078403, ENSG00000144554, ENSG00000115268, ENSG00000154832, ENSG00000197879, ENSG00000101413, ENSG00000120690, ENSG00000137807, ENSG00000166851, ENSG00000204392, ENSG00000138398, ENSG00000172062, ENSG00000112039, ENSG00000111206, ENSG00000147601, ENSG00000105058, ENSG00000165916, ENSG00000105372, ENSG00000085760, ENSG00000107897, ENSG00000174943, ENSG00000137054, ENSG00000164051, ENSG00000066422, ENSG00000175063, ENSG00000204560, ENSG00000167325, ENSG00000128731, ENSG00000086758, ENSG00000143384, ENSG00000105202, ENSG00000063978, ENSG00000130520, ENSG00000160633, ENSG00000158711, ENSG00000111845, ENSG00000031823, ENSG00000169813, ENSG00000172409, ENSG00000141552, ENSG00000197223, ENSG00000116809, ENSG00000108423, ENSG00000127481, ENSG00000104885, ENSG00000116017, ENSG00000055044, ENSG00000129355, ENSG00000116001, ENSG00000129351, ENSG00000085721, ENSG00000114030, ENSG00000160888, ENSG00000090013, ENSG00000197061, ENSG00000100297, ENSG00000119335, ENSG00000115163, ENSG00000124762, ENSG00000143970, ENSG00000100982, ENSG00000185130, ENSG00000116062, ENSG00000174579, ENSG00000198431, ENSG00000169251, ENSG00000129484, ENSG00000005156, ENSG00000112576, ENSG00000127080, ENSG00000181555, ENSG00000075218, ENSG00000029363, ENSG00000197265, ENSG00000101255, ENSG00000159256, ENSG00000136929, ENSG00000103194, ENSG00000148835	299	2243	13129	2.0946668714409897	2.0765611452588928E-12	2.0765611452588928E-12	8.448797217397441E-12
UP_KEYWORDS	Ubl conjugation	74	23.05295950155763	8.110870792421439E-13	ENSG00000163781, ENSG00000102908, ENSG00000128731, ENSG00000087074, ENSG00000143384, ENSG00000100764, ENSG00000013561, ENSG00000187266, ENSG00000118705, ENSG00000108298, ENSG00000063978, ENSG00000065989, ENSG00000160633, ENSG00000141378, ENSG00000009307, ENSG00000165704, ENSG00000143549, ENSG00000169813, ENSG00000197019, ENSG00000134758, ENSG00000114316, ENSG00000108468, ENSG00000141552, ENSG00000197223, ENSG00000116809, ENSG00000143947, ENSG00000100084, ENSG00000116017, ENSG00000130985, ENSG00000138778, ENSG00000055044, ENSG00000129351, ENSG00000158545, ENSG00000186625, ENSG00000122565, ENSG00000114030, ENSG00000057663, ENSG00000204843, ENSG00000203812, ENSG00000078403, ENSG00000134333, ENSG00000063245, ENSG00000144554, ENSG00000197061, ENSG00000168439, ENSG00000197114, ENSG00000119335, ENSG00000167658, ENSG00000179922, ENSG00000154832, ENSG00000115163, ENSG00000137807, ENSG00000124762, ENSG00000166851, ENSG00000185130, ENSG00000067560, ENSG00000174579, ENSG00000198431, ENSG00000112039, ENSG00000111206, ENSG00000147601, ENSG00000112576, ENSG00000105640, ENSG00000181555, ENSG00000198369, ENSG00000165916, ENSG00000105701, ENSG00000029363, ENSG00000126858, ENSG00000159256, ENSG00000180879, ENSG00000103194, ENSG00000120727, ENSG00000175063	310	1370	13870	2.4167176830704027	2.1494916957465193E-10	2.1494916957465193E-10	1.0633938174464674E-9
SMART	SM00160:RanBD	8	2.4922118380062304	3.9818149644817493E-10	ENSG00000187627, ENSG00000153165, ENSG00000169629, ENSG00000196862, ENSG00000183054, ENSG00000031823, ENSG00000015568, ENSG00000185304	152	11	7392	35.36842105263158	5.614358822292331E-8	5.614358822292331E-8	4.704010292400085E-7
UP_KEYWORDS	Phosphoprotein	202	62.928348909657316	6.466631202707699E-10	ENSG00000163781, ENSG00000184640, ENSG00000099381, ENSG00000110768, ENSG00000087074, ENSG00000166333, ENSG00000100764, ENSG00000156482, ENSG00000013561, ENSG00000109113, ENSG00000161813, ENSG00000136699, ENSG00000134318, ENSG00000149150, ENSG00000160392, ENSG00000065989, ENSG00000178096, ENSG00000009307, ENSG00000165704, ENSG00000171135, ENSG00000197471, ENSG00000143549, ENSG00000143947, ENSG00000100084, ENSG00000167461, ENSG00000166451, ENSG00000126953, ENSG00000175137, ENSG00000203812, ENSG00000147419, ENSG00000144554, ENSG00000168439, ENSG00000154832, ENSG00000197879, ENSG00000101413, ENSG00000120690, ENSG00000137807, ENSG00000166851, ENSG00000138398, ENSG00000204392, ENSG00000160654, ENSG00000111206, ENSG00000147601, ENSG00000132478, ENSG00000164051, ENSG00000066422, ENSG00000100578, ENSG00000204560, ENSG00000080845, ENSG00000180739, ENSG00000128731, ENSG00000101199, ENSG00000143384, ENSG00000077044, ENSG00000125388, ENSG00000143183, ENSG00000011009, ENSG00000108298, ENSG00000063978, ENSG00000011454, ENSG00000158711, ENSG00000182512, ENSG00000169813, ENSG00000134758, ENSG00000100714, ENSG00000116809, ENSG00000158195, ENSG00000127481, ENSG00000169567, ENSG00000116017, ENSG00000166801, ENSG00000130985, ENSG00000156858, ENSG00000085721, ENSG00000067221, ENSG00000122565, ENSG00000090013, ENSG00000172733, ENSG00000077549, ENSG00000134333, ENSG00000197061, ENSG00000100297, ENSG00000119335, ENSG00000179922, ENSG00000115163, ENSG00000143970, ENSG00000100412, ENSG00000100982, ENSG00000185130, ENSG00000067560, ENSG00000174579, ENSG00000198431, ENSG00000147649, ENSG00000103319, ENSG00000127080, ENSG00000105281, ENSG00000122299, ENSG00000075218, ENSG00000029363, ENSG00000171492, ENSG00000080603, ENSG00000172663, ENSG00000071794, ENSG00000102908, ENSG00000163002, ENSG00000187266, ENSG00000221829, ENSG00000111269, ENSG00000105639, ENSG00000121594, ENSG00000114062, ENSG00000082258, ENSG00000072864, ENSG00000163159, ENSG00000110700, ENSG00000108468, ENSG00000163605, ENSG00000105559, ENSG00000125450, ENSG00000213024, ENSG00000110801, ENSG00000205571, ENSG00000105048, ENSG00000182180, ENSG00000169629, ENSG00000158545, ENSG00000186625, ENSG00000130810, ENSG00000160917, ENSG00000138326, ENSG00000135045, ENSG00000175305, ENSG00000204843, ENSG00000078403, ENSG00000167658, ENSG00000172062, ENSG00000112039, ENSG00000099308, ENSG00000105640, ENSG00000198369, ENSG00000165916, ENSG00000085760, ENSG00000196531, ENSG00000107897, ENSG00000137054, ENSG00000175063, ENSG00000167325, ENSG00000086758, ENSG00000149428, ENSG00000188603, ENSG00000105202, ENSG00000101367, ENSG00000040633, ENSG00000015568, ENSG00000104872, ENSG00000160633, ENSG00000145194, ENSG00000111845, ENSG00000031823, ENSG00000114316, ENSG00000196652, ENSG00000124357, ENSG00000081014, ENSG00000197223, ENSG00000105072, ENSG00000100890, ENSG00000185722, ENSG00000184983, ENSG00000105726, ENSG00000104885, ENSG00000138629, ENSG00000134684, ENSG00000055044, ENSG00000138778, ENSG00000129351, ENSG00000114030, ENSG00000135387, ENSG00000063245, ENSG00000197114, ENSG00000167004, ENSG00000185418, ENSG00000105613, ENSG00000124762, ENSG00000184992, ENSG00000116062, ENSG00000169251, ENSG00000132330, ENSG00000183054, ENSG00000129484, ENSG00000144895, ENSG00000005156, ENSG00000112576, ENSG00000181555, ENSG00000105701, ENSG00000070366, ENSG00000197265, ENSG00000101255, ENSG00000159256, ENSG00000106723, ENSG00000136929, ENSG00000127526, ENSG00000103194	310	6646	13870	1.3598963237649617	1.7136572472153944E-7	8.56828660245057E-8	8.477746282764542E-7
UP_SEQ_FEATURE	domain:RanBD1 2	7	2.1806853582554515	7.628892783616501E-10	ENSG00000187627, ENSG00000153165, ENSG00000169629, ENSG00000196862, ENSG00000183054, ENSG00000015568, ENSG00000185304	306	7	13800	45.09803921568627	6.934661401780673E-7	6.934661401780673E-7	1.1906810204465046E-6
UP_SEQ_FEATURE	domain:RanBD1 1	7	2.1806853582554515	7.628892783616501E-10	ENSG00000187627, ENSG00000153165, ENSG00000169629, ENSG00000196862, ENSG00000183054, ENSG00000015568, ENSG00000185304	306	7	13800	45.09803921568627	6.934661401780673E-7	6.934661401780673E-7	1.1906810204465046E-6
INTERPRO	IPR000156:Ran binding domain	8	2.4922118380062304	7.801177777673059E-10	ENSG00000187627, ENSG00000153165, ENSG00000169629, ENSG00000196862, ENSG00000183054, ENSG00000031823, ENSG00000015568, ENSG00000185304	298	11	13322	32.51250762660158	4.906939433668711E-7	4.906939433668711E-7	1.1596161919591452E-6
UP_KEYWORDS	Nucleus	136	42.36760124610592	8.372627373259131E-10	ENSG00000163781, ENSG00000071794, ENSG00000099381, ENSG00000102908, ENSG00000110768, ENSG00000100764, ENSG00000163002, ENSG00000013561, ENSG00000109113, ENSG00000134318, ENSG00000221829, ENSG00000087263, ENSG00000160117, ENSG00000111269, ENSG00000135363, ENSG00000120253, ENSG00000114062, ENSG00000082258, ENSG00000113456, ENSG00000172183, ENSG00000160321, ENSG00000163159, ENSG00000108468, ENSG00000163605, ENSG00000167565, ENSG00000143947, ENSG00000175087, ENSG00000125450, ENSG00000213024, ENSG00000100084, ENSG00000166451, ENSG00000160075, ENSG00000205571, ENSG00000158545, ENSG00000157014, ENSG00000130810, ENSG00000160917, ENSG00000175305, ENSG00000171443, ENSG00000203812, ENSG00000078403, ENSG00000144554, ENSG00000168439, ENSG00000167658, ENSG00000197879, ENSG00000154832, ENSG00000101413, ENSG00000120690, ENSG00000137807, ENSG00000166851, ENSG00000204392, ENSG00000138398, ENSG00000172062, ENSG00000112039, ENSG00000111206, ENSG00000147601, ENSG00000105058, ENSG00000165916, ENSG00000105576, ENSG00000105372, ENSG00000196531, ENSG00000174943, ENSG00000137054, ENSG00000152944, ENSG00000066422, ENSG00000204560, ENSG00000128731, ENSG00000086758, ENSG00000105202, ENSG00000143384, ENSG00000063978, ENSG00000040633, ENSG00000160633, ENSG00000130520, ENSG00000158711, ENSG00000183077, ENSG00000111845, ENSG00000169813, ENSG00000031823, ENSG00000123810, ENSG00000114316, ENSG00000196652, ENSG00000172409, ENSG00000141552, ENSG00000197223, ENSG00000116809, ENSG00000161860, ENSG00000108423, ENSG00000104885, ENSG00000127481, ENSG00000169567, ENSG00000116017, ENSG00000166801, ENSG00000130985, ENSG00000055044, ENSG00000129355, ENSG00000116001, ENSG00000129351, ENSG00000085721, ENSG00000122565, ENSG00000114030, ENSG00000160888, ENSG00000172733, ENSG00000063245, ENSG00000197061, ENSG00000100297, ENSG00000197114, ENSG00000119335, ENSG00000179922, ENSG00000115163, ENSG00000124762, ENSG00000100982, ENSG00000143970, ENSG00000185130, ENSG00000116062, ENSG00000198431, ENSG00000169251, ENSG00000147649, ENSG00000129484, ENSG00000112576, ENSG00000005156, ENSG00000127080, ENSG00000181555, ENSG00000013374, ENSG00000122299, ENSG00000070366, ENSG00000029363, ENSG00000197265, ENSG00000101255, ENSG00000159256, ENSG00000106723, ENSG00000026036, ENSG00000080603, ENSG00000136929, ENSG00000103194, ENSG00000148835	310	3842	13870	1.5837853268626891	2.2187459192135606E-7	7.395820278421894E-8	1.097650392800631E-6
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	49	15.264797507788161	2.133486326033352E-9	ENSG00000134684, ENSG00000055044, ENSG00000204560, ENSG00000125445, ENSG00000116001, ENSG00000071794, ENSG00000129351, ENSG00000158545, ENSG00000130810, ENSG00000086758, ENSG00000160917, ENSG00000138326, ENSG00000105202, ENSG00000100764, ENSG00000156482, ENSG00000161813, ENSG00000172733, ENSG00000135387, ENSG00000134318, ENSG00000108298, ENSG00000101367, ENSG00000168439, ENSG00000197061, ENSG00000167004, ENSG00000115268, ENSG00000167658, ENSG00000160633, ENSG00000130520, ENSG00000009307, ENSG00000204392, ENSG00000138398, ENSG00000169251, ENSG00000147649, ENSG00000183617, ENSG00000105058, ENSG00000169813, ENSG00000108826, ENSG00000105640, ENSG00000110700, ENSG00000122299, ENSG00000105372, ENSG00000085760, ENSG00000029363, ENSG00000197265, ENSG00000143947, ENSG00000132478, ENSG00000103194, ENSG00000130985, ENSG00000135297	276	866	12496	2.5617699233524114	8.597946007382617E-7	8.597946007382617E-7	2.9790348299307823E-6
SMART	SM00755:Grip	7	2.1806853582554515	2.794506968965522E-8	ENSG00000187627, ENSG00000153165, ENSG00000169629, ENSG00000196862, ENSG00000183054, ENSG00000015568, ENSG00000185304	152	11	7392	30.94736842105263	3.9402471203597855E-6	1.97012550084974E-6	3.301355822049601E-5
