Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KEYWORDS	Acetylation	146	39.56639566395664	2.8936603187980976E-19	ENSG00000146282, ENSG00000138385, ENSG00000125743, ENSG00000196419, ENSG00000161057, ENSG00000111481, ENSG00000145907, ENSG00000214253, ENSG00000172175, ENSG00000156110, ENSG00000177646, ENSG00000145916, ENSG00000086827, ENSG00000051108, ENSG00000112062, ENSG00000167774, ENSG00000126391, ENSG00000111271, ENSG00000166347, ENSG00000009954, ENSG00000188739, ENSG00000134697, ENSG00000164508, ENSG00000105552, ENSG00000197153, ENSG00000075914, ENSG00000087086, ENSG00000158987, ENSG00000106263, ENSG00000175334, ENSG00000166794, ENSG00000136709, ENSG00000086061, ENSG00000117505, ENSG00000179051, ENSG00000117305, ENSG00000119487, ENSG00000178966, ENSG00000079462, ENSG00000168393, ENSG00000168395, ENSG00000008988, ENSG00000132305, ENSG00000107882, ENSG00000049541, ENSG00000129562, ENSG00000141522, ENSG00000177600, ENSG00000162231, ENSG00000103415, ENSG00000197548, ENSG00000151092, ENSG00000126698, ENSG00000164402, ENSG00000119402, ENSG00000039650, ENSG00000101882, ENSG00000203814, ENSG00000152556, ENSG00000122705, ENSG00000124571, ENSG00000111678, ENSG00000108176, ENSG00000135776, ENSG00000134108, ENSG00000165637, ENSG00000173599, ENSG00000162191, ENSG00000142864, ENSG00000167645, ENSG00000112335, ENSG00000011405, ENSG00000131143, ENSG00000124575, ENSG00000173465, ENSG00000198231, ENSG00000127616, ENSG00000178741, ENSG00000174021, ENSG00000130332, ENSG00000161217, ENSG00000171863, ENSG00000118640, ENSG00000164978, ENSG00000177733, ENSG00000111641, ENSG00000139154, ENSG00000184254, ENSG00000143627, ENSG00000136937, ENSG00000116906, ENSG00000042493, ENSG00000197903, ENSG00000093000, ENSG00000173473, ENSG00000011132, ENSG00000165410, ENSG00000115541, ENSG00000162813, ENSG00000169714, ENSG00000196866, ENSG00000163939, ENSG00000176102, ENSG00000140988, ENSG00000172809, ENSG00000115446, ENSG00000169564, ENSG00000112984, ENSG00000127483, ENSG00000164902, ENSG00000102974, ENSG00000143575, ENSG00000196787, ENSG00000205937, ENSG00000099331, ENSG00000136143, ENSG00000205339, ENSG00000063046, ENSG00000116353, ENSG00000167615, ENSG00000138160, ENSG00000100296, ENSG00000142541, ENSG00000088325, ENSG00000170876, ENSG00000196396, ENSG00000174775, ENSG00000110958, ENSG00000135090, ENSG00000089009, ENSG00000064666, ENSG00000131495, ENSG00000087365, ENSG00000093144, ENSG00000135114, ENSG00000057608, ENSG00000168028, ENSG00000173653, ENSG00000103051, ENSG00000181610, ENSG00000116560, ENSG00000197958, ENSG00000172530, ENSG00000142534, ENSG00000079805, ENSG00000197170	364	2758	13870	2.0171289913856993	8.912473781898141E-17	8.912473781898141E-17	3.882319602932708E-16
GOTERM_MF_DIRECT	GO:0044822~poly(A) RNA binding	64	17.344173441734416	2.2163646595114812E-13	ENSG00000198231, ENSG00000146282, ENSG00000138385, ENSG00000196419, ENSG00000125743, ENSG00000007080, ENSG00000145907, ENSG00000171863, ENSG00000156110, ENSG00000177733, ENSG00000111641, ENSG00000136937, ENSG00000004534, ENSG00000069275, ENSG00000188739, ENSG00000134697, ENSG00000166794, ENSG00000112651, ENSG00000176624, ENSG00000136709, ENSG00000089220, ENSG00000115541, ENSG00000169714, ENSG00000146963, ENSG00000048991, ENSG00000140988, ENSG00000176102, ENSG00000179051, ENSG00000167721, ENSG00000143319, ENSG00000169564, ENSG00000008988, ENSG00000166889, ENSG00000167962, ENSG00000205937, ENSG00000132305, ENSG00000100226, ENSG00000063046, ENSG00000172586, ENSG00000090621, ENSG00000162231, ENSG00000142541, ENSG00000196396, ENSG00000160710, ENSG00000100354, ENSG00000101138, ENSG00000149806, ENSG00000101882, ENSG00000124279, ENSG00000175573, ENSG00000124571, ENSG00000089009, ENSG00000087365, ENSG00000135114, ENSG00000168028, ENSG00000057608, ENSG00000181610, ENSG00000116560, ENSG00000197958, ENSG00000163877, ENSG00000142534, ENSG00000142864, ENSG00000147403, ENSG00000124575	337	866	12496	2.740332097504814	1.0703304909043254E-10	1.0703304909043254E-10	3.175570917335335E-10
GOTERM_MF_DIRECT	GO:0003735~structural constituent of ribosome	21	5.691056910569105	2.9715686318931005E-8	ENSG00000008988, ENSG00000089009, ENSG00000172590, ENSG00000171863, ENSG00000112651, ENSG00000168028, ENSG00000144659, ENSG00000181610, ENSG00000077713, ENSG00000140988, ENSG00000177600, ENSG00000172809, ENSG00000122912, ENSG00000140986, ENSG00000142541, ENSG00000197958, ENSG00000142534, ENSG00000149806, ENSG00000167774, ENSG00000111639, ENSG00000147403	337	170	12496	4.580485250480014	1.4352573724063511E-5	7.176312611711921E-6	4.2583651216343554E-5
GOTERM_BP_DIRECT	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	15	4.0650406504065035	1.1376078887072334E-7	ENSG00000008988, ENSG00000089009, ENSG00000205937, ENSG00000171863, ENSG00000168028, ENSG00000140988, ENSG00000177600, ENSG00000172809, ENSG00000140986, ENSG00000142541, ENSG00000197958, ENSG00000142534, ENSG00000149806, ENSG00000147403, ENSG00000136937	333	91	12479	6.177111177111176	1.6516703330193838E-4	1.6516703330193838E-4	1.8827389726139288E-4
UP_KEYWORDS	Phosphoprotein	223	60.43360433604336	1.9472425542558725E-7	ENSG00000197324, ENSG00000159792, ENSG00000138385, ENSG00000007080, ENSG00000145907, ENSG00000103222, ENSG00000177646, ENSG00000078699, ENSG00000111602, ENSG00000143545, ENSG00000166348, ENSG00000009954, ENSG00000075914, ENSG00000197153, ENSG00000158987, ENSG00000106263, ENSG00000170604, ENSG00000133895, ENSG00000086061, ENSG00000006837, ENSG00000117505, ENSG00000048991, ENSG00000123268, ENSG00000119487, ENSG00000119866, ENSG00000008988, ENSG00000154040, ENSG00000120314, ENSG00000167962, ENSG00000100888, ENSG00000136950, ENSG00000141522, ENSG00000177600, ENSG00000197548, ENSG00000126698, ENSG00000039650, ENSG00000100354, ENSG00000203814, ENSG00000122705, ENSG00000065361, ENSG00000047578, ENSG00000134242, ENSG00000174840, ENSG00000170633, ENSG00000162191, ENSG00000173599, ENSG00000011405, ENSG00000171848, ENSG00000173465, ENSG00000002016, ENSG00000163539, ENSG00000104804, ENSG00000178741, ENSG00000101966, ENSG00000162188, ENSG00000172893, ENSG00000162511, ENSG00000111641, ENSG00000110497, ENSG00000116906, ENSG00000155868, ENSG00000069275, ENSG00000167895, ENSG00000093000, ENSG00000105669, ENSG00000173473, ENSG00000011132, ENSG00000176624, ENSG00000115541, ENSG00000162813, ENSG00000169714, ENSG00000196866, ENSG00000146963, ENSG00000163939, ENSG00000176102, ENSG00000115446, ENSG00000145014, ENSG00000169564, ENSG00000127483, ENSG00000164902, ENSG00000135473, ENSG00000102974, ENSG00000143575, ENSG00000205937, ENSG00000166716, ENSG00000162065, ENSG00000071564, ENSG00000138160, ENSG00000090621, ENSG00000100296, ENSG00000088325, ENSG00000142541, ENSG00000155463, ENSG00000135090, ENSG00000090520, ENSG00000012963, ENSG00000064666, ENSG00000087365, ENSG00000047230, ENSG00000185905, ENSG00000168028, ENSG00000138587, ENSG00000197958, ENSG00000079805, ENSG00000142534, ENSG00000185344, ENSG00000125743, ENSG00000196419, ENSG00000099968, ENSG00000176444, ENSG00000185972, ENSG00000214253, ENSG00000172175, ENSG00000156110, ENSG00000168000, ENSG00000086827, ENSG00000168517, ENSG00000175197, ENSG00000167670, ENSG00000126804, ENSG00000175550, ENSG00000051108, ENSG00000007255, ENSG00000112062, ENSG00000167774, ENSG00000126391, ENSG00000004534, ENSG00000138439, ENSG00000188739, ENSG00000134697, ENSG00000095564, ENSG00000164508, ENSG00000176915, ENSG00000175334, ENSG00000136709, ENSG00000131023, ENSG00000179051, ENSG00000178966, ENSG00000079462, ENSG00000168395, ENSG00000132305, ENSG00000101782, ENSG00000148660, ENSG00000107882, ENSG00000049541, ENSG00000198252, ENSG00000136811, ENSG00000165934, ENSG00000103415, ENSG00000162231, ENSG00000151092, ENSG00000078808, ENSG00000167657, ENSG00000160710, ENSG00000164402, ENSG00000101882, ENSG00000152556, ENSG00000124571, ENSG00000090447, ENSG00000127666, ENSG00000138182, ENSG00000125779, ENSG00000108176, ENSG00000167113, ENSG00000186812, ENSG00000142864, ENSG00000112335, ENSG00000167645, ENSG00000185670, ENSG00000131143, ENSG00000124575, ENSG00000198231, ENSG00000127616, ENSG00000121864, ENSG00000174021, ENSG00000161217, ENSG00000118640, ENSG00000084693, ENSG00000177733, ENSG00000126746, ENSG00000139154, ENSG00000143627, ENSG00000136937, ENSG00000042493, ENSG00000197903, ENSG00000158615, ENSG00000005471, ENSG00000165410, ENSG00000089220, ENSG00000125319, ENSG00000140988, ENSG00000066855, ENSG00000112984, ENSG00000166889, ENSG00000196787, ENSG00000122490, ENSG00000136143, ENSG00000099331, ENSG00000100226, ENSG00000205339, ENSG00000063046, ENSG00000144597, ENSG00000176095, ENSG00000167615, ENSG00000217128, ENSG00000110025, ENSG00000196396, ENSG00000104856, ENSG00000152413, ENSG00000140990, ENSG00000126860, ENSG00000114650, ENSG00000110958, ENSG00000151500, ENSG00000151502, ENSG00000089009, ENSG00000163728, ENSG00000057608, ENSG00000103051, ENSG00000116560, ENSG00000163877, ENSG00000141759, ENSG00000172530	364	6646	13870	1.2785555551881163	5.997327802953478E-5	2.998708862744781E-5	2.61254189037885E-4
GOTERM_BP_DIRECT	GO:0006412~translation	21	5.691056910569105	2.6840285033489757E-7	ENSG00000008988, ENSG00000089009, ENSG00000172590, ENSG00000171863, ENSG00000112651, ENSG00000168028, ENSG00000144659, ENSG00000181610, ENSG00000077713, ENSG00000090621, ENSG00000140988, ENSG00000177600, ENSG00000172809, ENSG00000122912, ENSG00000140986, ENSG00000142541, ENSG00000197958, ENSG00000142534, ENSG00000149806, ENSG00000111639, ENSG00000147403	333	196	12479	4.0151222651222644	3.896450597057344E-4	1.9484151146020867E-4	4.4420569168535096E-4
GOTERM_MF_DIRECT	GO:0003723~RNA binding	31	8.401084010840108	4.227636725443998E-7	ENSG00000166889, ENSG00000008988, ENSG00000138385, ENSG00000205937, ENSG00000063046, ENSG00000130332, ENSG00000171863, ENSG00000134077, ENSG00000171865, ENSG00000177733, ENSG00000165934, ENSG00000090621, ENSG00000162231, ENSG00000160710, ENSG00000101138, ENSG00000149806, ENSG00000136937, ENSG00000124571, ENSG00000004534, ENSG00000089009, ENSG00000075914, ENSG00000106263, ENSG00000112651, ENSG00000176624, ENSG00000176102, ENSG00000140988, ENSG00000172809, ENSG00000140986, ENSG00000115446, ENSG00000169564, ENSG00000164902	337	402	12496	2.859412138122444	2.0417405062833627E-4	6.806264929526407E-5	6.058340164538656E-4
GOTERM_BP_DIRECT	GO:0006614~SRP-dependent cotranslational protein targeting to membrane	13	3.523035230352303	4.418052036666593E-7	ENSG00000008988, ENSG00000089009, ENSG00000140988, ENSG00000177600, ENSG00000172809, ENSG00000142541, ENSG00000140986, ENSG00000197958, ENSG00000142534, ENSG00000149806, ENSG00000171863, ENSG00000168028, ENSG00000147403	333	73	12479	6.673536550248879	6.412955794344866E-4	2.1381090498973077E-4	7.311849378743851E-4
GOTERM_BP_DIRECT	GO:0019083~viral transcription	14	3.7940379403794036	5.26868299364415E-7	ENSG00000008988, ENSG00000089009, ENSG00000093000, ENSG00000171863, ENSG00000168028, ENSG00000177600, ENSG00000140988, ENSG00000172809, ENSG00000140986, ENSG00000142541, ENSG00000197958, ENSG00000142534, ENSG00000149806, ENSG00000147403	333	88	12479	5.961848211848213	7.647204243280692E-4	1.9123495530093404E-4	8.719632696663204E-4
UP_KEYWORDS	Ribosomal protein	17	4.607046070460704	8.577692036714604E-7	ENSG00000008988, ENSG00000089009, ENSG00000172590, ENSG00000171863, ENSG00000112651, ENSG00000168028, ENSG00000181610, ENSG00000140988, ENSG00000177600, ENSG00000172809, ENSG00000140986, ENSG00000142541, ENSG00000197958, ENSG00000142534, ENSG00000149806, ENSG00000111639, ENSG00000147403	364	141	13870	4.5941469877640095	2.6415813213254147E-4	8.806046512876975E-5	0.0011508318507935655
