Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	short sequence motif:Nuclear export signal	6	1.8691588785046727	0.0012658728044094405	ENSG00000169251, ENSG00000162231, ENSG00000135679, ENSG00000061273, ENSG00000172175, ENSG00000164902	316	36	13800	7.2784810126582276	0.7065773177114134	0.7065773177114134	1.973283339050691
UP_KEYWORDS	Lipoprotein	29	9.034267912772584	0.0024126194460464775	ENSG00000119913, ENSG00000140945, ENSG00000114383, ENSG00000114349, ENSG00000132915, ENSG00000106404, ENSG00000156738, ENSG00000170458, ENSG00000100151, ENSG00000151892, ENSG00000166569, ENSG00000029534, ENSG00000141505, ENSG00000173156, ENSG00000113368, ENSG00000167791, ENSG00000134291, ENSG00000138185, ENSG00000221963, ENSG00000068001, ENSG00000075290, ENSG00000174165, ENSG00000089041, ENSG00000127314, ENSG00000018236, ENSG00000160789, ENSG00000162399, ENSG00000169258, ENSG00000023041	319	689	13870	1.8300567357171131	0.5282146812827664	0.5282146812827664	3.1934999186049473
UP_SEQ_FEATURE	domain:Thyroglobulin type-1	4	1.2461059190031152	0.0028424398559261745	ENSG00000019582, ENSG00000119888, ENSG00000115457, ENSG00000152377	316	13	13800	13.437195715676728	0.9364163976951354	0.7478421083827346	4.379908684566914
GOTERM_MF_DIRECT	GO:0000062~fatty-acyl-CoA binding	5	1.557632398753894	0.0032721265334902895	ENSG00000097021, ENSG00000111271, ENSG00000155368, ENSG00000107897, ENSG00000117054	291	27	12496	7.95214458444699	0.7912548203290665	0.7912548203290665	4.581581908673571
UP_SEQ_FEATURE	calcium-binding region:3	5	1.557632398753894	0.004569219985527127	ENSG00000178363, ENSG00000105507, ENSG00000178372, ENSG00000175544, ENSG00000167791	316	30	13800	7.278481012658228	0.9881228711551917	0.771841235765836	6.9522901883664385
SMART	SM00211:TY	4	1.2461059190031152	0.004604480010202572	ENSG00000019582, ENSG00000119888, ENSG00000115457, ENSG00000152377	152	17	7392	11.442724458204333	0.497244785743433	0.497244785743433	5.35605971953631
INTERPRO	IPR000716:Thyroglobulin type-1	4	1.2461059190031152	0.006139082076125131	ENSG00000019582, ENSG00000119888, ENSG00000115457, ENSG00000152377	302	17	13322	10.379431242695754	0.9840481186015085	0.9840481186015085	8.822219976909263
UP_KEYWORDS	Williams-Beuren syndrome	4	1.2461059190031152	0.007545200756894544	ENSG00000077800, ENSG00000130305, ENSG00000009950, ENSG00000106077	319	18	13870	9.662138627655867	0.9051496452284317	0.6920221521414758	9.67578516052855
KEGG_PATHWAY	hsa04744:Phototransduction	4	1.2461059190031152	0.009049240784810429	ENSG00000178363, ENSG00000178372, ENSG00000114349, ENSG00000132915	122	20	5491	9.001639344262296	0.8448773123545509	0.8448773123545509	10.809866227560894
KEGG_PATHWAY	hsa00230:Purine metabolism	9	2.803738317757009	0.017795877628993165	ENSG00000169418, ENSG00000168002, ENSG00000144231, ENSG00000138185, ENSG00000169299, ENSG00000132915, ENSG00000065989, ENSG00000014138, ENSG00000112981	122	151	5491	2.6826077516013465	0.9748023943505956	0.8412624630107784	20.225897008760008
