human_H3K27ac_down.txt	human_H3K27ac_up.txt	human_H3K27me3_down.txt	human_H3K27me3_up.txt	human_H3K4me3_down.txt	human_H3K4me3_up.txt	human_H3K9ac_down.txt	human_H3K9ac_up.txt	human_H3K9me3_down.txt	human_H3K9me3_up.txt
ENSG00000219960	ENSG00000215030	ENSG00000178550	ENSG00000215030	ENSG00000219960	ENSG00000215030	ENSG00000219960	ENSG00000215030	ENSG00000204518	ENSG00000215030
ENSG00000177951	ENSG00000208290	ENSG00000206517	ENSG00000208290	ENSG00000160072	ENSG00000208290	ENSG00000158286	ENSG00000208290	ENSG00000215383	ENSG00000197300
ENSG00000172270	ENSG00000197300	ENSG00000120937	ENSG00000197300	ENSG00000177951	ENSG00000197300	ENSG00000120948	ENSG00000197300	ENSG00000215380	ENSG00000219801
ENSG00000177963	ENSG00000185036	ENSG00000079101	ENSG00000197530	ENSG00000172270	ENSG00000219126	ENSG00000083444	ENSG00000185036	ENSG00000182903	ENSG00000158286
ENSG00000178127	ENSG00000218894	ENSG00000139044	ENSG00000158286	ENSG00000177963	ENSG00000218894	ENSG00000137379	ENSG00000218894	ENSG00000187980	ENSG00000116288
ENSG00000101255	ENSG00000074800	ENSG00000186530	ENSG00000116288	ENSG00000168936	ENSG00000162441	ENSG00000177951	ENSG00000074800	ENSG00000164631	ENSG00000162441
ENSG00000134107	ENSG00000162444	ENSG00000154639	ENSG00000074800	ENSG00000157778	ENSG00000215672	ENSG00000172270	ENSG00000162441	ENSG00000186300	ENSG00000173614
ENSG00000125826	ENSG00000132199	ENSG00000101680	ENSG00000171612	ENSG00000150753	ENSG00000132199	ENSG00000177963	ENSG00000215672	ENSG00000005801	ENSG00000120948
ENSG00000182378	ENSG00000204518	ENSG00000151067	ENSG00000162441	ENSG00000169100	ENSG00000204518	ENSG00000125826	ENSG00000176105	ENSG00000188822	ENSG00000083444
ENSG00000134077	ENSG00000157330	ENSG00000136574	ENSG00000173614	ENSG00000064666	ENSG00000157330	ENSG00000168936	ENSG00000157330	ENSG00000010539	ENSG00000068793
ENSG00000150753	ENSG00000101605	ENSG00000130035	ENSG00000142655	ENSG00000214021	ENSG00000132950	ENSG00000157778	ENSG00000132950	ENSG00000197168	ENSG00000132950
ENSG00000167468	ENSG00000140157	ENSG00000183024	ENSG00000175206	ENSG00000177600	ENSG00000136319	ENSG00000150753	ENSG00000162438	ENSG00000175176	ENSG00000162438
ENSG00000214021	ENSG00000132950	ENSG00000088882	ENSG00000176890	ENSG00000156990	ENSG00000162438	ENSG00000106263	ENSG00000129566	ENSG00000147124	ENSG00000129484
ENSG00000096474	ENSG00000142621	ENSG00000157103	ENSG00000132199	ENSG00000206271	ENSG00000132906	ENSG00000214021	ENSG00000092094	ENSG00000167785	ENSG00000132906
ENSG00000206271	ENSG00000136319	ENSG00000152969	ENSG00000068793	ENSG00000111639	ENSG00000092094	ENSG00000177600	ENSG00000069696	ENSG00000186446	ENSG00000150459
ENSG00000122034	ENSG00000129566	ENSG00000127472	ENSG00000132950	ENSG00000010292	ENSG00000142627	ENSG00000206271	ENSG00000159339	ENSG00000196110	ENSG00000182957
ENSG00000111639	ENSG00000092094	ENSG00000158816	ENSG00000129566	ENSG00000144554	ENSG00000142632	ENSG00000111639	ENSG00000092200	ENSG00000174652	ENSG00000142632
ENSG00000010292	ENSG00000142632	ENSG00000100842	ENSG00000150459	ENSG00000082213	ENSG00000159339	ENSG00000010292	ENSG00000197996	ENSG00000130818	ENSG00000187144
ENSG00000132963	ENSG00000069696	ENSG00000162551	ENSG00000185201	ENSG00000053372	ENSG00000092200	ENSG00000053372	ENSG00000117148	ENSG00000197961	ENSG00000157191
ENSG00000078674	ENSG00000117118	ENSG00000036565	ENSG00000116786	ENSG00000132963	ENSG00000197996	ENSG00000132963	ENSG00000172150	ENSG00000171469	ENSG00000070031
ENSG00000206380	ENSG00000167721	ENSG00000143882	ENSG00000070031	ENSG00000113407	ENSG00000117148	ENSG00000113407	ENSG00000172146	ENSG00000171466	ENSG00000197996
ENSG00000171848	ENSG00000092200	ENSG00000154783	ENSG00000103200	ENSG00000206380	ENSG00000179002	ENSG00000167740	ENSG00000179002	ENSG00000197566	ENSG00000111639
ENSG00000105325	ENSG00000117148	ENSG00000168484	ENSG00000117118	ENSG00000051180	ENSG00000141255	ENSG00000174109	ENSG00000141255	ENSG00000197933	ENSG00000010292
ENSG00000117318	ENSG00000179002	ENSG00000070886	ENSG00000167088	ENSG00000172009	ENSG00000180389	ENSG00000144713	ENSG00000180389	ENSG00000197647	ENSG00000122025
ENSG00000092531	ENSG00000141255	ENSG00000173372	ENSG00000155463	ENSG00000203621	ENSG00000122025	ENSG00000206380	ENSG00000162482	ENSG00000132010	ENSG00000152520
ENSG00000197889	ENSG00000180389	ENSG00000166523	ENSG00000158201	ENSG00000171848	ENSG00000162542	ENSG00000172009	ENSG00000154065	ENSG00000213297	ENSG00000197324
ENSG00000100890	ENSG00000053371	ENSG00000173369	ENSG00000152520	ENSG00000140988	ENSG00000127472	ENSG00000171848	ENSG00000162542	ENSG00000197857	ENSG00000211454
ENSG00000086102	ENSG00000162542	ENSG00000137198	ENSG00000197324	ENSG00000183751	ENSG00000117215	ENSG00000183751	ENSG00000127472	ENSG00000198342	ENSG00000162482
