Pathway,DUPLICATE?,Carbohydrates Metabolism,Aminoacids and Polyamines Metabolism,Lipids Metabolism,Nucleic Base Metabolism,Catabolism of Xenobiotics,Vitamin Metabolism,Translation and protein maturation,Signaling,Perception and Neurotransmission,Immunity Linked Pathways,Sulfur Metabolism and Linked Redox Reactions,Hormone Linked Pathways,Cell cycle regulation and apoptosis,Molecular Transport pathways,Invasive Disease,Cytoskeleton Organisation and Cell Adhesion Linked Pathways ,Cancer and Tumorigenesis Linked Pathways,Chromatin Structure Linked Pathways,"RNA synthesis, processing and degradation","DNA replication, recombination and repair",Mitochondria Linked Pathways,Other,Garbage,TRUTHFULNESS
125-dihydroxyvitamin_Dsub3sub_biosynthesis,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1D-imyoi-inositol_hexakisphosphate_biosynthesis_II_mammalian,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1D-imyoi-inositol_hexakisphosphate_biosynthesis_V_from_Ins134P3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2-amino-3-carboxymuconate_semialdehyde_degradation_to_glutaryl-CoA,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2-deoxy-alpha-D-ribose_1-phosphate_degradation,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2-oxobutanoate_degradation,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2-oxoglutarate_decarboxylation_to_succinyl-CoA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2-oxoisovalerate_decarboxylation_to_isobutanoyl-CoA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3-phosphoinositide_biosynthesis,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3-phosphoinositide_degradation,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4-aminobutyrate_degradation,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4-hydroxy-2-nonenal_detoxification,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4-hydroxybenzoate_biosynthesis,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4-hydroxyproline_degradation,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5-aminoimidazole_ribonucleotide_biosynthesis,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7-3-amino-3-carboxypropyl-wyosine_biosynthesis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
AHR_Pathway,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AHR_Pathway_C-myc_expression_via_RELA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
AHR_Pathway_CYP1A1_CYP1B1_CYP1A2_AHRR_gene_expression_via_POLR2B,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AHR_Pathway_Cath_D_expression_via_SP1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
AHR_Pathway_PS2_Gene_expression_via_ESR1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
ATM_Pathway,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ATM_Pathway_Apoptosis,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ATM_Pathway_Apoptosis_and_Senescence,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ATM_Pathway_Cell_Cycle_Checkpoint_Control,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ATM_Pathway_Cell_Survival,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ATM_Pathway_Checkpoint_Activation,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ATM_Pathway_DNA_repair,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ATM_Pathway_G2-Mitosis_progression,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
ATM_Pathway_G2_M_Checkpoint_Arrest,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
