,PII_HUMAN_H3K4me3,NPII_HUMAN_H3K4me3,PII_MOUSE_H3K4me3,NPII_MOUSE_H3K4me3,PII_HUMAN_H3K9ac,NPII_HUMAN_H3K9ac,PII_MOUSE_H3K9ac,NPII_MOUSE_H3K9ac,PII_HUMAN_H3K27ac,NPII_HUMAN_H3K27ac,PII_MOUSE_H3K27ac,NPII_MOUSE_H3K27ac,PII_HUMAN_H3K27me3,NPII_HUMAN_H3K27me3,PII_MOUSE_H3K27me3,NPII_MOUSE_H3K27me3,PII_HUMAN_H3K9me3,NPII_HUMAN_H3K9me3,PII_MOUSE_H3K9me3,NPII_MOUSE_H3K9me3
125-dihydroxyvitamin_Dsub3sub_biosynthesis,2.2483602721117473,0.3758903462341238,18.982333333333333,1.600691467682318,2.391201383690189,0.6368458708524852,15.013999999999998,1.0607502166622707,2.6077168902476697,0.7301110299938143,10.488333333333333,1.162760618759377,3.3126236175595736,0.7172250636398277,16.368333333333336,13.64141456232464,3.7576022979153954,0.8810686738432802,11.621333333333332,8.959243459937298
1D-imyoi-inositol_hexakisphosphate_biosynthesis_II_mammalian,5.605292143640353,0.7990226387134838,36.73393333333333,8.579046604792664,6.17404901368367,0.8619894528295848,32.45406666666668,5.485991766690597,7.398026081212992,1.086096674860617,23.632266666666666,5.620164379391695,3.561951850167261,0.8312005470678019,20.00746666666667,12.638529761052482,3.625597880934745,0.8694886826703615,15.303000000000003,11.036719347254346
1D-imyoi-inositol_hexakisphosphate_biosynthesis_V_from_Ins134P3,1.0420866743128292,1.5008493976632225,82.579,13.647767212789637,1.8104583973098165,1.6059072889094894,65.185,7.035921680374761,2.612022321667237,0.9840169952318406,33.13033333333333,4.765788703962101,1.4543363278363717,0.5035903091797521,24.618,21.278667742307253,2.1479889194863,0.5583335551544265,19.076,15.254291502292356
2-amino-3-carboxymuconate_semialdehyde_degradation_to_glutaryl-CoA,6.896376673356409,1.3132183461870743,38.3785,30.351931669896004,8.087387128410615,1.3756950545092346,26.035000000000004,22.939336534649108,9.118160370811186,2.1024138092989646,14.8995,13.832335329341316,7.612659787300229,1.958741505703815,28.476,20.090306194440526,8.971826520862951,1.5867401998328161,21.058,8.468932234063946
2-deoxy-alpha-D-ribose_1-phosphate_degradation,8.357359908465595,1.1028821961760615,24.0656,2.4443595764908546,8.118467806962949,1.2069145882543721,23.0238,1.3287233895206305,11.054987837278857,1.5522515777539116,12.9412,0.8268070191579107,6.275483236746044,1.3511966210055772,13.614600000000001,9.23674997964667,5.201340058988596,1.1942692434725601,9.229,8.535096642929807
2-oxobutanoate_degradation,10.145939425280373,1.1978257321211119,39.19285714285714,5.547287925170757,7.493156538899193,1.1260918291048383,36.342285714285715,4.46517146598237,7.990144034974181,1.0875127779630298,25.687285714285714,6.786345108695653,6.347232503659917,1.5685778140364843,18.131,9.63982712917461,6.749794610907511,1.5966341138652496,16.984142857142857,12.897763023714989
2-oxoglutarate_decarboxylation_to_succinyl-CoA,19.393472275044818,1.3231609130766253,67.383,4.785259953460956,14.960950209114822,1.103805496826642,66.422,4.465474624470853,11.643771566277799,0.8898361028495198,33.156666666666666,5.984597797966428,13.394823163396865,2.314369148330379,22.927333333333333,8.392756912414281,8.934385174050027,2.1001668462279652,18.064333333333334,17.878987826201712
2-oxoisovalerate_decarboxylation_to_isobutanoyl-CoA,8.41622768588157,0.8246123643149496,26.29325,4.3128964926165745,6.99509296076362,0.8037671943527788,22.99825,3.1036460494664353,7.305300254837627,0.7693204605536336,25.9955,7.972062284851226,7.771264110864312,1.5873534601646813,15.214,6.662214680606492,6.832179888455218,1.5141265369471475,14.44925,12.51315248219273
3-phosphoinositide_biosynthesis,6.491802268547685,0.9957208377358211,32.53696296296296,4.3850047968118435,6.537232481027252,1.1104462092834626,33.9798148148148,4.3346617498718425,7.50708976601164,1.2039036554960931,38.24588888888889,6.944533924777789,5.360654779771078,1.1926898519735225,16.242666666666665,10.162605582397713,6.132967177151125,1.2366930527163968,14.446555555555554,10.831456618024797
3-phosphoinositide_degradation,5.835809051297186,0.6152579347215749,27.931529411764703,4.065505499746139,6.444360358206568,0.6942083721205897,28.840000000000003,3.635514261244194,6.795793111510919,0.8435248886969763,21.635823529411763,4.75228143981043,3.866240496911333,0.9717213124583518,19.138,13.860376345689321,4.507540317039151,0.9991647786185097,12.313352941176472,9.953070171267724
