,Aminoacids and Polyamines Metabolism,Cancer and Tumorigenesis Linked Pathways,Carbohydrates Metabolism,Catabolism of Xenobiotics,Cell cycle regulation and apoptosis,Chromatin Structure Linked Pathways,Cytoskeleton Organisation and Cell Adhesion Linked Pathways ,"DNA replication, recombination and repair",Hormone Linked Pathways,Immunity Linked Pathways,Invasive Disease,Lipids Metabolism,Mitochondria Linked Pathways,Molecular Transport pathways,Nucleic Base Metabolism,Other,Perception and Neurotransmission,"RNA synthesis, processing and degradation",Signaling,Sulfur Metabolism and Linked Redox Reactions,Translation and protein maturation,Vitamin Metabolism
"Human, H3K27ac, negatively enriched (-)",1.0,1.0,1.0,1.0,0.0891728903934019,0.539745923837339,1.0,0.5767475761146605,1.0,0.5620628595537429,1.0,0.9339873679635724,1.0,1.0,0.06032864703023168,0.0010109070961059014,1.0,0.3196136946318939,0.984300853541452,1.0,0.09838174071346964,1.0
"Human, H3K27ac, positively enriched (+)",2.4707397216608914e-06,1.0,0.29692439811544,0.017659004016834498,0.9982633153844854,1.0,0.7413722284196226,1.0,0.3255036813069823,0.00211600036829863,1.0,0.009036657897915428,1.0,0.8444813727345527,0.01275626256264577,0.8406598393887648,0.7379340353426826,1.0,0.9999999997360405,0.1901367113692947,1.0,0.38958455658061586
"Human, H3K27me3, negatively enriched (-)",0.4038305460843315,1.0,1.0,1.0,0.9669912251282484,1.0,1.0,1.0,0.10252568285707458,0.5877254079004688,1.0,0.5394119205069583,0.4962890135496454,0.018325586692696846,1.0,1.0,0.4743987865955228,1.0,0.5128760938313909,1.0,1.0,1.0
"Human, H3K27me3, positively enriched (+)",0.7135296166877896,1.0,0.7512129047883598,0.4344940957706845,0.8544405343742686,1.0,0.9771685364453704,5.7145227765321806e-08,1.0,0.8937006880858477,0.31181078457282685,0.6685673304170834,1.0,0.9615084425122262,0.03584207640769245,0.6258916574262305,1.0,0.8539263847050574,0.9990868816366038,0.18436013644201837,0.11026813753391593,0.14517958012716814
"Human, H3K4me3, negatively enriched (-)",1.0,1.0,0.41781171948305895,1.0,0.8267440409002091,1.0,1.0,0.24679304485146575,1.0,1.0,1.0,0.10226784650861336,1.0,1.0,0.04177633084927321,0.0021606962816029867,1.0,0.020016791095074933,0.9999650863127236,1.0,0.0004965618359081743,1.0
"Human, H3K4me3, positively enriched (+)",2.004594676055074e-05,1.0,0.33378688573577486,0.02200255219983424,0.9520622415252952,1.0,0.9833181246789023,1.0,0.5888701629662801,0.11561100918360503,1.0,0.013243588823663706,1.0,0.06706197909726964,0.2658305517000388,0.9696333871478177,0.002182494497140656,1.0,0.999999992631407,0.20762318572101982,1.0,0.17077893708098374
"Human, H3K9ac, negatively enriched (-)",1.0,1.0,0.8067415054252178,1.0,0.7647563346219015,1.0,0.8997413970345252,0.5858522627692493,1.0,0.9811918463003484,1.0,0.7651333944178818,1.0,0.8622254148080819,0.017788725385096738,0.004542200880257397,1.0,0.11416560294160663,0.9965968831256347,1.0,0.0001552859788930936,1.0
"Human, H3K9ac, positively enriched (+)",2.1932677339049984e-06,1.0,0.5124391165358535,0.06250244015500128,0.9716542079603013,1.0,0.9780458330821555,1.0,0.7777813759717944,0.004592544404125854,1.0,0.047310164161307386,1.0,0.236146766682399,0.22878821239880703,0.8365416477530199,0.016672018537724455,1.0,0.9999999893189387,0.1872448377157539,1.0,0.7387535384972059
"Human, H3K9me3, negatively enriched (-)",0.9053302130571756,1.0,1.0,1.0,0.20377505651976063,1.0,0.9107361185201379,1.0,0.8356762497646089,0.002067725198691314,1.0,0.3398801682406921,0.5076007382707479,0.8753495564682647,0.2044005627925786,1.0,1.0,1.0,0.9959536789079757,1.0,1.0,0.5722461549554019
"Human, H3K9me3, positively enriched (+)",0.15442077939080523,1.0,0.73565471135481,1.0,0.8343095973179911,0.354619434679229,0.16718899938025533,0.6049911027270448,1.0,0.9523971474344123,1.0,0.45509726074770457,1.0,0.823176002072749,0.41471521150598034,0.6049911027270448,1.0,0.11630276302327709,0.938690430752285,0.1757519152092674,1.0,0.36555304508517517
"Mouse, H3K27ac, negatively enriched (-)",0.9081134675276055,0.17354742790424632,0.9463644919608862,0.7998806784751573,0.15698284902535958,1.0,0.7759240164770816,0.4617284670595984,0.9530968341272448,0.9932452470184616,1.0,0.7262398848031848,1.0,0.0010548481313808924,0.48496492191736407,0.4617284670595984,1.0,1.0,0.9631780441515897,1.0,0.048188493588564786,1.0
"Mouse, H3K27ac, positively enriched (+)",0.3233717471492763,1.0,1.0,0.04672977583942689,0.4971526674859984,1.0,1.0,1.0,1.0,0.9699843567816615,1.0,0.10828807070100495,0.11928189987172297,1.0,1.0,0.823138098544896,1.0,1.0,0.9000905846332832,1.0,1.0,1.0
