GO:51726	regulation of cell cycle
GO:44770	cell cycle phase transition
GO:44772	mitotic cell cycle phase transition
GO:278	mitotic cell cycle
GO:1903047	mitotic cell cycle process
GO:22402	cell cycle process
GO:1901987	regulation of cell cycle phase transition
GO:7346	regulation of mitotic cell cycle
GO:10564	regulation of cell cycle process
GO:75	cell cycle checkpoint
GO:1901990	regulation of mitotic cell cycle phase transition
GO:1902806	regulation of cell cycle G1/S phase transition
GO:45786	negative regulation of cell cycle
GO:44839	cell cycle G2/M phase transition
GO:44843	cell cycle G1/S phase transition
GO:86	G2/M transition of mitotic cell cycle
GO:1901988	negative regulation of cell cycle phase transition
GO:2000045	regulation of G1/S transition of mitotic cell cycle
GO:82	G1/S transition of mitotic cell cycle
GO:10948	negative regulation of cell cycle process
GO:7093	mitotic cell cycle checkpoint
GO:1902402	signal transduction involved in mitotic DNA damage checkpoint
GO:1902403	signal transduction involved in mitotic DNA integrity checkpoint
GO:1902400	intracellular signal transduction involved in G1 DNA damage checkpoint
GO:72413	signal transduction involved in mitotic cell cycle checkpoint
GO:72431	signal transduction involved in mitotic G1 DNA damage checkpoint
GO:1902807	negative regulation of cell cycle G1/S phase transition
GO:1901991	negative regulation of mitotic cell cycle phase transition
GO:72401	signal transduction involved in DNA integrity checkpoint
GO:72422	signal transduction involved in DNA damage checkpoint
GO:72395	signal transduction involved in cell cycle checkpoint
GO:2000134	negative regulation of G1/S transition of mitotic cell cycle
GO:31571	mitotic G1 DNA damage checkpoint
GO:44819	mitotic G1/S transition checkpoint
GO:44783	G1 DNA damage checkpoint
GO:31570	DNA integrity checkpoint
GO:7050	cell cycle arrest
GO:1901989	positive regulation of cell cycle phase transition
GO:10826	negative regulation of centrosome duplication
GO:46606	negative regulation of centrosome cycle
GO:31145	anaphase-promoting complex-dependent catabolic process
GO:1902808	positive regulation of cell cycle G1/S phase transition
GO:7059	chromosome segregation
GO:1901992	positive regulation of mitotic cell cycle phase transition
GO:71158	positive regulation of cell cycle arrest
GO:51439	regulation of ubiquitin-protein ligase activity involved in mitotic cell cycle
GO:51298	centrosome duplication
GO:51437	positive regulation of ubiquitin-protein ligase activity involved in regulation of mitotic cell cycle transition
GO:7067	mitotic nuclear division
GO:1900087	positive regulation of G1/S transition of mitotic cell cycle
GO:44774	mitotic DNA integrity checkpoint
GO:45787	positive regulation of cell cycle
GO:45930	negative regulation of mitotic cell cycle
GO:51301	cell division
GO:30496	midbody
