gene	gene_signal	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.6967	1.69	3.84	1.69	0	0	0	1.66	0.49
A1CF	0.9594	0	4.659	0	0	0	0.987	1.972	1.699
A2M	1.3188	1.182	5.116	0	0	1.182	2.217	1.717	0
A3GALT2	0.6112	0	5.079	0	0	0	2.333	0.276	2.47
A4GALT	0.839	1.53	14.437	0.321	0	1.208	0.453	0	12.455
A4GNT	0.7513	0.762	5.35	0	0	0.762	0.568	0.729	3.291
AAAS	1.3499	3.545	39.05	0	0	3.545	1.543	0	33.963
AACS	0.8767	2.361	35.048	0	0	2.361	2.153	0	30.534
AADAC	0.624	1.127	6.311	0	1.127	0	2.235	2.95	0
AADACL2	3.9245	0.423	1.409	0	0.423	0	0	0.986	0
AADACL3	0.9415	0	9.327	0	0	0	0	0.423	8.904
AADAT	0.6237	0.845	12.586	0	0.845	0	8.582	2.314	0.845
AAGAB	1.2255	1.333	33.087	0.653	0	0.679	8.762	0	22.992
AAK1	0.6089	0	8.547	0	0	0	2.288	1.421	4.838
AAMDC	0.8032	1.298	19.698	0	0	1.298	4.202	2.86	11.337
AAMP	0.883	0	6.435	0	0	0	0	0	6.435
AANAT	0.6515	0.294	8.211	0	0	0.294	2.5	0	5.418
AAR2	0.5949	4.05	39.152	0	0	4.05	0.919	0	34.183
AARD	0.8357	2.113	8.414	1.334	0	0.778	0	0	6.301
AARS	1.1854	1.47	50.349	0	0	1.47	2.023	0	46.857
AARS2	5.7466	0	6.103	0	0	0	1.493	1.075	3.536
AARSD1	1.2607	3.949	13.398	0	0	3.949	3.938	0	5.511
AASDH	0.775	0	18.912	0	0	0	2.049	0.46	16.403
AASDHPPT	0.7497	0.845	8.996	0	0.845	0	4.141	4.01	0
AASS	0.6137	0	3.29	0	0	0	0	2.445	0.845
AATF	0.9705	2.258	12.191	0	0	2.258	0	1.244	8.69
AATK	0.6318	0	0	0	0	0	0	0	0
ABAT	2.6591	0	13.259	0	0	0	2.57	0	10.69
ABCA1	6.1949	0	4.813	0	0	0	3.126	1.687	0
ABCA12	1.0781	0	2.024	0	0	0	0.334	0	1.691
ABCA13	0.879	0.845	10.763	0	0.845	0	3.73	0	6.188
ABCA2	0.6353	0	1.065	0	0	0	0.398	0	0.667
ABCA3	0.762	0	12.293	0	0	0	3.289	4.33	4.674
ABCA4	0.5173	0.915	9.123	0	0	0.915	0.857	1.751	5.6
ABCA5	3.9621	0	3.694	0	0	0	1.476	0	2.218
ABCA6	0.6848	4.999	37.376	3.557	0	1.443	8.52	11.239	12.617
ABCA7	1.439	0.645	6.032	0	0	0.645	0	0	5.387
ABCA8	0.9417	0.282	8.104	0	0.282	0	3.68	2.046	2.096
ABCA9	0.9792	0.43	13.136	0	0.43	0	6.983	1.654	4.069
ABCB1	0.9113	1.691	1.691	0	1.691	0	0	0	0
ABCB10	0.7563	2.297	27.917	0	0	2.297	5.669	0.912	19.038
ABCB11	0.9464	0.527	3.095	0	0	0.527	0	2.146	0.423
ABCB4	1.1645	0	8.573	0	0	0	2.113	4.799	1.661
ABCB5	0.8995	1.662	7.22	0	1.662	0	2.479	0	3.079
ABCB6	0.9181	0	8.925	0	0	0	1.412	0	7.513
ABCB7	0.3381	0.845	3.578	0	0	0.845	0.282	1.606	0.845
ABCB8	0.6094	1.782	23.25	0	0	1.782	1.706	0	19.762
ABCB9	0.87	0.818	9.84	0	0	0.818	2.857	1.742	4.423
ABCC1	1.0476	4.502	49.645	0	0	4.502	0	6.441	38.702
ABCC10	0.6802	0.441	2.252	0	0	0.441	0.956	0	0.855
