SYMBOL,Akt_Pathway_Regulation_by_GH,Angiotensin-PTK2B_Pathway,CCR3_Pathway_in_Eosinophils,CD16_Pathway_in_Natural_Killer_cells,CDC42_Pathway,CDK5_Pathway_in_Central_Nervous_System,CDK5_Signaling_in_Neurons,CXC_Chemokine_Receptor_Pathway,Calcium2+_Signaling,Cell_Adhesion_Regulated_by_CDHs,Cell_Migration_Adhesion_and_Angiogenesis_driven_by_MMIF,Chemokine_Ligand_2_Signaling,Chemotaxis_Driven_by_C5a,Chemotaxis_Driven_by_CCL2,Chemotaxis_Driven_by_CCR4,Chemotaxis_Driven_by_IL-8_and_LTB4,Chemotaxis_of_Immune_Cells_During_Allergic_Asthma_and_Eczema_Driven_by_CCR4,Cytoskeleton_Reorganization,Development_of_Immune_Synapse,Ephrin-B_Pathway,Ephrin-mediated_Signaling_Events_During_Cell_Adhesion,Extracellular_Matrix_Remodeling_during_Adhesion,FAK_Pathway,FCGR3A-mediated_phagocytosis,FGF2_Signaling_in_Epithelial–mesenchymal_transition,FGFR_Signaling,FN1_Influence_on_Cell_Motility_via_Integrins,GNAQ_Signaling_Events,Gamma-Aminobutyric_Acid_A_Receptor_Pathway,HMGB1_signaling_through_RAGE,ICOS_signaling_in_T-helper_cells,ITGA4-mediated_Cell_Adhesion_and_Migration,Inside-out_Signaling_through_Integrins,Integrin-based_Cell_Migration_and_Adhesion,Integrins_Function_in_Carcinoma_Progression,Integrins_Signaling_in_Natural_Killer_Cells,Interleukin-8-induced_Cell_Adhesion_and_Migration,Intermediate_Filaments_in_Epithelial_Cells,Junctional_Cell_Adhesion_in_Endothelium,Lipoxins_Influence_on_Cell_Growth_and_Proliferation,Lipoxins_Influence_on_Neutrophil_Chemotaxis,Mitosis_Initiation,Neuronal_Development_Induced_by_CDK5,Neuronal_Intermediate_Filaments,Nicotine_Influence_on_Glutamatergic_Neurons,Nitric_Oxide_Pathway_in_Skeletal_Muscle,Non-Junctional_Cell_Adhesion_in_Endothelium,Outside-in_Signaling_through_Integrins,PLAU-mediated_Signaling_Events_During_Cell_Adhesion,PRL_Pathway,Protein_kinase_A_Pathway,RALA_Signaling,RALB_Signaling,Rac1_Signaling,Ras_Signaling,Regulation_of_Angiogenesis_by_Interleukin-8,Regulation_of_Cell_Migration_and_Proliferation_by_Somatostatin_Receptor,Regulation_of_Cell_Migration_by_Platelet-derived_Growth_Factors ,Regulation_of_Cytoskeleton_Remodeling_by_Activin_A,Regulation_of_Cytoskeleton_Remodeling_by_Protein_Kinase_A,Regulation_of_Cytoskeleton_Remodeling_by_TGF_and_WNT,Regulation_of_Epithelial-mesenchymal_transition,Regulation_of_Repulsive_Axonal_Pathfinding,RhoA_Signaling,RhoB_Signaling,Role_of_Cholinergic_Receptors_in_Migration_of_Kertinocytes,Role_of_KITLG_in_Haematopoiesis,Role_of_NTN1_in_Axon_Pathfinding,Role_of_Rho_GTPases_in_of_Actin_Cytoskeleton_Organization,Role_of_Small_GTPases_in_G1-S_Transition,SPP1_Pathway_in_Osteoclasts,STATs_Pathway_Regulation_by_GH,Slit-Robo_Pathway,Smooth_Muscle_Tone_Regulation_by_G-protein_Coupled_Receptors,TGF-beta_Signaling_in_Epithelial–mesenchymal_transition,TRH_Influence_on_Cytoskeleton,TRH_Pathway,TSPANs_Influence_on_Integrin-based_Cell_Migration_and_Adhesion,TYROBP_Signaling_in_Natural_Killer_Cells,Tight_Junctions,Transport_between_Cytoplasm_and_Mitochondria,VEGFR2_Signaling
ABL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ACTA1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ACTA2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
ACTB,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1
ACTC1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
ACTG1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,1
ACTG2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
ACTN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
