gene	gene_signal	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.4632	0.741	2.323	0.741	0	0	0	0.657	0.926
A1CF	4.299	0.185	6.738	0	0	0.185	0.675	2.226	3.652
A2M	7.9238	0.37	3.908	0	0	0.37	1.271	2.267	0
A3GALT2	5.877	0.185	6.323	0	0	0.185	0.635	1.803	3.7
A4GALT	0.5122	0.56	6.297	0.375	0	0.185	0.792	0	4.944
A4GNT	0.6575	0	3.86	0	0	0	1.055	0.478	2.327
AAAS	0.5681	1.589	11.746	0	0	1.589	0.384	0	9.772
AACS	0.5699	1.157	25.595	0	0	1.157	2.272	0	22.166
AADAC	0.5359	0.185	6.772	0	0.185	0	2.029	4.558	0
AADACL2	4.4238	0.247	1.77	0	0.247	0	0.441	0.712	0.37
AADACL3	0.6555	0	7.387	0	0	0	0	0.635	6.752
AADAT	0.8466	0.185	5.553	0	0.185	0	3.546	1.081	0.741
AAGAB	9.566	1.189	25.733	0	0	1.189	14.119	0	10.425
AAK1	0.4713	0	7.092	0	0	0	1.443	1.344	4.304
AAMDC	1.0672	0.37	11.308	0	0	0.37	2.055	1.911	6.972
AAMP	0.6257	0	4.392	0	0	0	0	0	4.392
AANAT	0.594	0.392	7.715	0	0	0.392	1.967	0	5.357
AAR2	3.0223	0.538	6.877	0	0	0.538	0.663	0	5.676
AARD	0.3523	0.859	5.201	0.287	0	0.572	0	0	4.342
AARS	0.6122	0.97	60.577	0	0	0.97	4.619	0	54.987
AARS2	5.5928	0.451	17.475	0	0	0.451	2.676	7.032	7.316
AARSD1	7.6276	1.054	6.326	0	0	1.054	1.214	0	4.059
AASDH	0.6485	0	7.029	0	0	0	1.622	0.62	4.787
AASDHPPT	0.525	0.687	4.286	0	0.687	0	1.49	1.161	0.948
AASS	0.4474	0	2.467	0	0	0	0	2.205	0.263
AATF	5.1813	0.394	8.114	0	0	0.394	0	0.792	6.928
AATK	0.4517	0	0	0	0	0	0	0	0
ABAT	6.8456	0	15.888	0	0	0	2.963	0	12.925
ABCA1	6.7822	0.341	5.243	0	0.341	0	3.001	1.901	0
ABCA12	0.5396	0	1.092	0	0	0	0.381	0.34	0.37
ABCA13	0.4256	0.556	5.665	0	0.556	0	2.474	0	2.635
ABCA2	1.7605	0	1.631	0	0	0	0.493	0.127	1.01
ABCA3	0.415	0	13.763	0	0	0	2.673	1.215	9.876
ABCA4	1.2511	0	5.45	0	0	0	0.556	1.481	3.413
ABCA5	0.693	0	4.094	0	0	0	0.852	0.532	2.71
ABCA6	0.6203	1.169	17.775	0.556	0	0.613	5.022	6.134	5.451
ABCA7	0.3961	0.489	34.223	0	0	0.489	1.672	0	32.061
ABCA8	5.0107	0.556	4.952	0.37	0.185	0	2.059	1.148	1.189
ABCA9	0.797	0.275	8.551	0	0.275	0	5.412	1.25	1.615
ABCB1	0.3468	1.364	2.055	0	1.364	0	0.692	0	0
ABCB10	0.4601	1.865	35.548	0	0	1.865	13.692	0.392	19.599
ABCB11	0.6318	0.185	2.41	0	0	0.185	0.185	1.114	0.926
ABCB4	0.4627	0	30.722	0	0	0	2.303	15.679	12.74
ABCB5	0.5579	0	2.062	0	0	0	0.37	0.296	1.395
ABCB6	0.4832	0.192	10.441	0	0	0.192	2.814	0.228	7.207
ABCB7	0.2469	0	2.153	0	0	0	0.514	0.37	1.269
ABCB8	0.5181	6.05	28.183	0	0	6.05	0.863	0	21.27
ABCB9	0.5637	0.556	13.913	0	0	0.556	4.118	2.92	6.32
ABCC1	0.5674	0.78	49.877	0	0	0.78	0	4.801	44.296
ABCC10	6.2618	0	3.461	0	0	0	0	0	3.461
ABCC12	0.5547	0	4.625	0	0	0	3.452	0	1.173
ABCC2	0	0.223	6.034	0	0	0.223	0.743	1.265	3.803
ABCC3	6.6753	0	4.466	0	0	0	0	0	4.466
ABCC4	0.6215	0.185	2.898	0	0.185	0	0	1.753	0.96
ABCC5	0.407	0.741	7.588	0.555	0	0.185	0.346	2.541	3.961
ABCC6	5.4307	0	4.829	0	0	0	1.572	0.185	3.071
ABCC8	0.5802	0	2.151	0	0	0	0.951	0	1.2
ABCC9	0.3944	0.185	2.102	0	0	0.185	0	0.99	0.926
ABCD1	0.7335	0.89	12.357	0	0	0.89	0.352	5.716	5.399
ABCD2	0.5043	0	1.526	0	0	0	0.679	0.476	0.37
ABCD3	4.5456	0	5.668	0	0	0	2.686	1.872	1.111
ABCD4	0.6026	1.79	9.462	0	0	1.79	2.494	0	5.177
ABCE1	0.5275	0.387	16.784	0	0	0.387	1.533	7.149	7.714
ABCF1	0.8871	1.031	4.116	0	0	1.031	0.542	0	2.542
ABCF2	2.2917	1.85	10.55	0.296	0.589	0.964	0.799	0.731	7.17
ABCF3	5.8059	0.497	19.998	0	0	0.497	0.649	2.975	15.877
ABCG1	0.6133	0.299	1.937	0	0.299	0	1.638	0	0
ABCG2	0.5476	0	2.21	0	0	0	1.296	0	0.914
