gene	gene_signal	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.4853	0.501	1.311	0.501	0	0	0	0	0.81
A1CF	3.4584	0	6.854	0	0	0	1.401	1.754	3.7
A2M	4.6153	0	1.417	0	0	0	0	1.417	0
A3GALT2	1.437	0.558	4.926	0	0	0.558	1.836	0.645	1.887
A4GALT	0.6802	1.506	9.417	0.257	0	1.249	1.493	0	6.418
A4GNT	0.481	0	4.705	0	0	0	1.684	0.348	2.672
AAAS	0.6146	1.487	13.076	0	0	1.487	0.387	0	11.203
AACS	1.0454	1.892	21.387	0	0	1.892	2.33	0	17.165
AADAC	0.5214	0	5.465	0	0	0	1.849	3.615	0
AADACL2	5.5909	0	4.059	0	0	0	1.503	1.303	1.253
AADACL3	0.6814	0	5.041	0	0	0	0	0.585	4.457
AADAT	0.6166	0.702	13.432	0	0.702	0	8.367	3.696	0.668
AAGAB	3.9382	0.336	20.052	0	0	0.336	11.128	0	8.589
AAK1	0.493	0	7.719	0	0	0	2.125	2.118	3.475
AAMDC	0.6961	0.992	13.752	0	0	0.992	1.631	2.175	8.956
AAMP	0.3573	0	5.015	0	0	0	0	0	5.015
AANAT	1.0408	0.265	8.482	0	0	0.265	2.511	0	5.705
AAR2	0.5651	2.495	12.735	0	0	2.495	0.668	0	9.572
AARD	0.5094	1.203	5.537	0.746	0	0.457	0	0	4.333
AARS	0.7324	0.857	77.165	0	0	0.857	9.284	0	67.025
AARS2	6.3283	0.296	13.751	0	0	0.296	3.596	3.929	5.929
AARSD1	4.959	3.067	11.532	0	0	3.067	2.954	0	5.511
AASDH	0.8008	0	7.909	0	0	0	1.565	0.205	6.139
AASDHPPT	0.5432	0	3.556	0	0	0	1.017	1.708	0.831
AASS	0.5416	0.501	2.852	0	0.501	0	0	1.887	0.464
AATF	3.1541	4.165	11.716	0	0	4.165	0	1.155	6.396
AATK	0.7913	0	0	0	0	0	0	0	0
ABAT	5.1762	0	14.484	0	0	0	2.75	0	11.734
ABCA1	6.0592	0.501	5.738	0	0.501	0	2.746	2.492	0
ABCA12	0.6548	0	3.46	0	0	0	1.205	0.251	2.004
ABCA13	0.6252	0	8.128	0	0	0	3.848	0	4.28
ABCA2	0.7371	0	4.599	0	0	0	1.044	0.763	2.792
ABCA3	0.6759	0	8.098	0	0	0	1.644	1.34	5.115
ABCA4	1.0312	0.844	9.201	0	0	0.844	0	1.24	7.116
ABCA5	1.1367	0	4.459	0	0	0	1.368	0	3.091
ABCA6	0.838	2.07	23.706	1	0	1.069	3.852	9.222	8.562
ABCA7	0.547	0.194	21.377	0	0	0.194	1.486	0	19.697
ABCA8	2.2728	1.357	10.804	0.905	0.453	0	4.751	1.012	3.684
ABCA9	0.8418	0.37	8.291	0	0.37	0	5.215	0.762	1.944
ABCB1	0.5875	0.334	2.64	0	0.334	0	2.306	0	0
ABCB10	0.2312	1.171	27.912	0	0	1.171	14.205	0	12.536
ABCB11	0.8527	0.623	4.16	0	0	0.623	0	2.201	1.336
ABCB4	0.5686	0	6.77	0	0	0	1.913	3.1	1.757
ABCB5	0.8953	0.375	7.581	0	0.375	0	1.8	0.702	4.704
ABCB6	0.8746	0.251	22.383	0	0	0.251	1.465	0.153	20.514
ABCB7	0.25	0	2.338	0	0	0	0.752	0.835	0.752
ABCB8	0.5762	2.524	40.785	0	0	2.524	1.198	0	37.063
ABCB9	0.53	0.691	8.135	0	0	0.691	2.478	1.324	3.641
ABCC1	0.7224	2.161	31.073	0	0	2.161	0	1.343	27.568
ABCC10	0.787	0.294	5.552	0	0	0.294	0.61	0	4.648
ABCC12	0.4552	0	8.198	0	0	0	5.997	0	2.202
ABCC2	0	0	2.475	0	0	0	0.343	0.334	1.798
ABCC3	3.1995	0	4.625	0	0	0	0	0	4.625
ABCC4	0.4061	0.815	7.059	0	0.815	0	0	1.172	5.072
ABCC5	0.4381	1.347	8.112	0.329	0	1.018	0.699	2.695	3.372
ABCC6	3.4365	0	18.902	0	0	0	11.935	2.023	4.944
ABCC8	0.7418	0	2.755	0	0	0	1.111	0	1.644
ABCC9	0.4884	0.585	2.794	0	0	0.585	0	0.835	1.374
ABCD1	4.9179	1.013	24.044	0	0	1.013	2.689	6.355	13.987
ABCD2	0.5784	0	2.254	0	0	0	0.989	0.317	0.948
ABCD3	4.5406	1.257	9.453	0.59	0.667	0	3.862	0.782	3.552
ABCD4	1.2252	0.423	7.065	0	0	0.423	1.071	0	5.57
ABCE1	0.7472	0.251	9.045	0	0	0.251	0.686	0.667	7.441
ABCF1	0.7603	0.495	5.508	0	0	0.495	1.617	0	3.395
ABCF2	1.03	0.568	5.681	0.338	0	0.23	0.334	0.251	4.529
ABCF3	3.9543	0.295	26.669	0	0	0.295	1.041	1.839	23.495
ABCG1	2.0678	0.379	1.56	0	0.379	0	1.181	0	0
ABCG2	0.4976	0	2.756	0	0	0	0.752	0	2.004
ABCG4	0.5886	0.782	10.668	0	0	0.782	0	0	9.887
ABCG5	1	1.061	10.572	0	0.421	0.64	0.409	0	9.101
ABCG8	3.6377	0	11.565	0	0	0	2.621	2.302	6.642
ABHD10	0.7776	0.252	8.859	0	0	0.252	2.072	1.157	5.378
ABHD11	0.8336	1.187	50.824	0	0	1.187	16.206	0	33.431
ABHD12	3.8561	0	1.062	0	0	0	0	0	1.062
ABHD12B	0.4516	0.548	7.02	0	0	0.548	0.78	0	5.692
ABHD13	0.9386	0.403	15.291	0	0	0.403	12.256	1.033	1.599
ABHD14A	6.8308	1.378	16.368	0	0	1.378	0.671	0	14.319
ABHD14B	6.8278	0.916	15.837	0	0	0.916	0.995	0	13.926
ABHD15	1.0758	0.924	13.096	0	0	0.924	1.072	0	11.1
ABHD16A	0.5075	2.471	15.085	0	0	2.471	3.022	0.418	9.174
ABHD16B	0.5632	2.479	27.768	0.927	0	1.552	2.041	0	23.248
ABHD17A	1.7594	2.567	14.741	0	0	2.567	0	0	12.174
ABHD17B	0.6409	1.298	36.455	0	0	1.298	1.078	9.409	24.67
ABHD17C	0.8063	0	3.926	0	0	0	2.286	0	1.64
ABHD18	7.1367	0	9.622	0	0	0	0.497	0	9.126
ABHD2	6.0342	0.887	33.351	0	0	0.887	0.451	16.633	15.38
ABHD3	0.6487	1.352	11.162	0	0	1.352	0.581	1.182	8.048
