gene	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0	1.762	0	0	0	0	0	1.762
A1CF	0	0.133	0	0	0	0.101	0.032	0
A2M	0.139	0.555	0	0	0.139	0.277	0.139	0
A3GALT2	0.406	4.06	0	0	0.406	0.223	0.923	2.507
A4GALT	0.696	7.417	0	0	0.696	0.684	0	6.036
A4GNT	0	5.425	0	0	0	0	0.966	4.46
AAAS	1.829	16.958	0	0	1.829	0.71	0	14.418
AACS	1.13	25.644	0	0	1.13	2.229	0	22.285
AADAC	0	5.512	0	0	0	1.423	4.089	0
AADACL2	0	0.196	0	0	0	0.118	0.079	0
AADACL3	0	1.363	0	0	0	0	0.098	1.265
AADAT	0	2.69	0	0	0	1.832	0.859	0
AAGAB	0.061	3.168	0.061	0	0	0.974	0	2.134
AAK1	0	26.055	0	0	0	3.026	14.685	8.344
AAMDC	0.108	1.924	0	0	0.108	0.289	0.065	1.461
AAMP	0	2.405	0	0	0	0	0	2.405
AANAT	1.183	14.175	0	0	1.183	4.712	0	8.28
AAR2	1.015	7.094	0	0	1.015	0.547	0	5.532
AARD	2.955	6.032	1.435	0	1.52	0	0	3.077
AARS	0.318	16.998	0	0	0.318	1.22	0	15.461
AARS2	0.087	5.801	0	0	0.087	0.903	0.77	4.041
AARSD1	0.269	2.395	0	0	0.269	0.767	0	1.359
AASDH	0	8.426	0	0	0	1.456	0.418	6.551
AASDHPPT	0	7.831	0	0	0	2.098	3.068	2.664
AASS	0	2.78	0	0	0	0	2.78	0
AATF	0.278	1.937	0	0	0.278	0	0.266	1.394
AATK	0	0	0	0	0	0	0	0
ABAT	0	1.017	0	0	0	0.183	0	0.834
ABCA1	0	0.626	0	0	0	0.494	0.132	0
ABCA12	0	3.59	0	0	0	0.447	0.786	2.357
ABCA13	1.163	9.568	0	1.163	0	4.938	0	3.466
ABCA2	0	7.362	0	0	0	3.949	0	3.413
ABCA3	0	89.791	0	0	0	11.324	5.42	73.047
ABCA4	0	8.056	0	0	0	3.303	0.211	4.542
ABCA5	0	1.915	0	0	0	0.759	0	1.155
ABCA6	5.137	25.056	3.52	0	1.618	6.326	8.321	5.271
ABCA7	7.246	186.075	0	0	7.246	4.434	0	174.395
ABCA8	0.329	11.981	0	0.329	0	5.684	3.994	1.975
ABCA9	0	1.187	0	0	0	0.897	0.071	0.219
ABCB1	0	1.599	0	0	0	1.599	0	0
ABCB10	4.441	91.419	0	0	4.441	47.101	1.28	38.597
ABCB11	0.491	0.96	0	0	0.491	0.094	0.119	0.256
ABCB4	0	167.405	0	0	0	2.086	105.013	60.306
ABCB5	0	1.219	0	0	0	0.487	0	0.731
ABCB6	0	18.402	0	0	0	2.025	0.626	15.751
