gene	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	1.032	2.702	1.032	0	0	0	0	1.669
A1CF	0	1.982	0	0	0	0.405	0.507	1.07
A2M	0	0.307	0	0	0	0	0.307	0
A3GALT2	0.388	3.428	0	0	0.388	1.278	0.449	1.313
A4GALT	2.214	13.844	0.378	0	1.837	2.195	0	9.435
A4GNT	0	9.782	0	0	0	3.502	0.724	5.556
AAAS	2.419	21.276	0	0	2.419	0.629	0	18.228
AACS	1.809	20.458	0	0	1.809	2.229	0	16.42
AADAC	0	10.481	0	0	0	3.547	6.934	0
AADACL2	0	0.726	0	0	0	0.269	0.233	0.224
AADACL3	0	7.399	0	0	0	0	0.858	6.541
AADAT	1.138	21.784	0	1.138	0	13.569	5.994	1.084
AAGAB	0.085	5.092	0	0	0.085	2.826	0	2.181
AAK1	0	15.657	0	0	0	4.311	4.297	7.049
AAMDC	1.425	19.757	0	0	1.425	2.342	3.124	12.866
AAMP	0	14.035	0	0	0	0	0	14.035
AANAT	0.255	8.149	0	0	0.255	2.412	0	5.482
AAR2	4.414	22.535	0	0	4.414	1.182	0	16.939
AARD	2.362	10.869	1.465	0	0.897	0	0	8.507
AARS	1.17	105.359	0	0	1.17	12.676	0	91.514
AARS2	0.047	2.173	0	0	0.047	0.568	0.621	0.937
AARSD1	0.618	2.326	0	0	0.618	0.596	0	1.111
AASDH	0	9.876	0	0	0	1.954	0.256	7.666
AASDHPPT	0	6.547	0	0	0	1.873	3.144	1.53
AASS	0.925	5.266	0	0.925	0	0	3.484	0.857
AATF	1.321	3.715	0	0	1.321	0	0.366	2.028
AATK	0	0	0	0	0	0	0	0
ABAT	0	2.798	0	0	0	0.531	0	2.267
ABCA1	0.083	0.947	0	0.083	0	0.453	0.411	0
ABCA12	0	5.284	0	0	0	1.84	0.383	3.061
ABCA13	0	13	0	0	0	6.155	0	6.845
ABCA2	0	6.24	0	0	0	1.416	1.035	3.788
ABCA3	0	11.981	0	0	0	2.432	1.983	7.567
ABCA4	0.819	8.923	0	0	0.819	0	1.203	6.901
ABCA5	0	3.922	0	0	0	1.204	0	2.719
ABCA6	2.47	28.289	1.194	0	1.276	4.597	11.005	10.217
ABCA7	0.354	39.08	0	0	0.354	2.716	0	36.01
ABCA8	0.597	4.754	0.398	0.199	0	2.09	0.445	1.621
ABCA9	0.439	9.849	0	0.439	0	6.196	0.905	2.309
ABCB1	0.569	4.494	0	0.569	0	3.926	0	0
ABCB10	5.067	120.728	0	0	5.067	61.44	0	54.221
ABCB11	0.731	4.879	0	0	0.731	0	2.581	1.567
ABCB4	0	11.906	0	0	0	3.364	5.453	3.09
ABCB5	0.419	8.468	0	0.419	0	2.011	0.784	5.254
ABCB6	0.287	25.592	0	0	0.287	1.675	0.175	23.455
ABCB7	0	9.353	0	0	0	3.006	3.34	3.006
ABCB8	4.381	70.783	0	0	4.381	2.079	0	64.323
ABCB9	1.304	15.349	0	0	1.304	4.676	2.498	6.87
ABCC1	2.992	43.013	0	0	2.992	0	1.859	38.162
