gene	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0	1.455	0	0	0	0	1.091	0.364
A1CF	0.475	4.005	0	0	0.475	0.583	0	2.947
A2M	0	0.934	0	0	0	0	0.934	0
A3GALT2	0.701	4.439	0	0	0.701	2.041	0.608	1.089
A4GALT	2.135	8.016	0.55	0	1.584	0.486	0	5.395
A4GNT	0	9.761	0	0	0	3.715	1.644	4.402
AAAS	1.308	22.964	0	0	1.308	1.18	0	20.477
AACS	2.757	75.268	0	0	2.757	6.354	0	66.157
AADAC	0	10.061	0	0	0	3.119	6.942	0
AADACL2	0	0.492	0	0	0	0.127	0.254	0.111
AADACL3	0	6.016	0	0	0	0	0.417	5.599
AADAT	0	7.653	0	0	0	4.831	1.531	1.291
AAGAB	0.338	10.188	0.129	0	0.209	2.381	0	7.469
AAK1	0	28.83	0	0	0	2.184	13.596	13.049
AAMDC	0.644	23.007	0	0	0.644	3.127	4.04	15.195
AAMP	0	6.385	0	0	0	0	0	6.385
AANAT	0.432	8.272	0	0	0.432	2.437	0	5.403
AAR2	1.816	34.15	0	0	1.816	1.806	0	30.528
AARD	6.258	13.282	4.509	0	1.749	0	0	7.024
AARS	2.612	67.945	0	0	2.612	3.435	0	61.898
AARS2	0.088	4.298	0	0	0.088	1.384	0.573	2.254
AARSD1	1.734	5.104	0	0	1.734	1.097	0	2.272
AASDH	0	12.557	0	0	0	1.841	0.383	10.332
AASDHPPT	0.677	9.82	0	0.677	0	3.704	3.867	1.572
AASS	0	6.182	0	0	0	0	4.428	1.753
AATF	0	5.849	0	0	0	0	1.03	4.819
AATK	0	0	0	0	0	0	0	0
ABAT	0	2.775	0	0	0	0.446	0	2.329
ABCA1	0.125	1.273	0	0.125	0	0.881	0.267	0
ABCA12	0	3.667	0	0	0	2.145	0	1.521
ABCA13	2.29	11.218	0	2.29	0	5.429	0	3.499
ABCA2	0	3.55	0	0	0	0.964	1.402	1.184
ABCA3	0	30.522	0	0	0	8.345	7.683	14.494
ABCA4	0.936	8.717	0	0	0.936	0	3.372	4.409
ABCA5	0	0.522	0	0	0	0.338	0	0.185
ABCA6	3.042	31.604	3.042	0	0	7.387	9.868	11.307
ABCA7	0.909	22.427	0	0	0.909	1.86	0	19.658
ABCA8	0.593	8.884	0	0.593	0	5.187	1.83	1.274
ABCA9	1.603	16.683	0	1.603	0	9.219	2.049	3.812
ABCB1	0.946	1.261	0	0.946	0	0.315	0	0
ABCB10	1.205	39.543	0	0	1.205	12.187	0.491	25.66
ABCB11	1.105	2.107	0	0	1.105	0	1.002	0
ABCB4	0	24.171	0	0	0	0.921	14.912	8.339
ABCB5	1.271	5.589	0	1.271	0	1.355	0.339	2.624
ABCB6	0.512	12.338	0	0	0.512	1.194	2.197	8.434
ABCB7	0	6.731	0	0	0	0	4.959	1.773
ABCB8	3.373	52.845	0	0	3.373	3.4	0	46.072
ABCB9	0.278	11.017	0	0	0.278	4.086	2.497	4.156
