gene	gene_signal	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.4634	0.613	1.086	0.613	0	0	0	0	0.472
A1CF	6.6373	0	2.412	0	0	0	0.39	0	2.023
A2M	7.9878	0	0.236	0	0	0	0.236	0	0
A3GALT2	6.742	0.179	3.777	0	0	0.179	0.467	1.615	1.516
A4GALT	0.34	0.503	3.618	0.331	0	0.172	0.197	0	2.918
A4GNT	0.189	0.236	1.402	0	0	0.236	0.325	0.236	0.605
AAAS	0.4699	1.653	10.526	0	0	1.653	0.324	0	8.549
AACS	0.5003	0.901	33.691	0	0	0.901	2.499	0	30.291
AADAC	0.3768	0.236	4.305	0	0.236	0	0.873	3.196	0
AADACL2	8.7303	0.472	1.811	0	0.472	0	0.709	0.394	0.236
AADACL3	0.5695	0	2.178	0	0	0	0	0.607	1.57
AADAT	0.835	0	3.249	0	0	0	2.213	0.328	0.709
AAGAB	15.8626	0.498	26.825	0.211	0	0.286	12.636	0	13.692
AAK1	0.4317	0	9.006	0	0	0	1.029	3.908	4.069
AAMDC	0.8033	0.536	4.697	0	0	0.536	0.938	0.467	2.756
AAMP	0.3726	0	3.611	0	0	0	0	0	3.611
AANAT	0.4759	0.314	5.532	0	0	0.314	1.569	0	3.648
AAR2	5.8011	0.832	9.697	0	0	0.832	0.919	0	7.946
AARD	0.3637	0	1.964	0	0	0	0	0	1.964
AARS	0.6669	0.884	91.932	0	0	0.884	12.853	0	78.194
AARS2	13.503	0.275	18.141	0	0	0.275	3.443	4.615	9.808
AARSD1	11.0352	1.078	5.417	0	0	1.078	1.79	0	2.548
AASDH	0.4183	0	4.473	0	0	0	0.666	0	3.807
AASDHPPT	0.2484	0.472	3.141	0	0.472	0	0.99	0.823	0.856
AASS	0.2431	0	0.602	0	0	0	0	0.602	0
AATF	8.8021	0.965	6.841	0	0	0.965	0	0.623	5.253
AATK	0.4527	0	0	0	0	0	0	0	0
ABAT	13.2082	0	4.679	0	0	0	0.799	0	3.88
ABCA1	12.4178	0	1.495	0	0	0	1.093	0.402	0
ABCA12	0.4277	0	0.158	0	0	0	0.158	0	0
ABCA13	0.3848	0	2.145	0	0	0	1.754	0	0.391
ABCA2	1.2039	0	3.357	0	0	0	1.637	0.451	1.269
ABCA3	0.4359	0	21.083	0	0	0	4.328	2.71	14.044
ABCA4	0.5531	0	1.457	0	0	0	0	0.512	0.945
ABCA5	0.8435	0	2.993	0	0	0	0.848	0.27	1.875
ABCA6	0.8586	1.102	10.458	0.236	0	0.866	2.099	4.028	3.228
ABCA7	0.3578	0.607	54.108	0	0	0.607	1.773	0	51.729
ABCA8	2.6222	0.244	3.88	0	0.244	0	2.118	0.366	1.153
ABCA9	0.9299	0	4.045	0	0	0	3.588	0.221	0.236
ABCB1	0.3395	0.945	0.945	0	0.945	0	0	0	0
ABCB10	0.2025	0.414	38.947	0	0	0.414	26.351	0.275	11.907
ABCB11	1.4518	0	0.742	0	0	0	0	0.315	0.427
ABCB4	0.2697	0	47.224	0	0	0	0.407	31.026	15.792
ABCB5	0.3935	0	0.945	0	0	0	0	0	0.945
ABCB6	0.4064	0.278	10.775	0	0	0.278	0.439	0.063	9.996
ABCB7	0	0	2.315	0	0	0	0.709	1.134	0.472
ABCB8	0.3517	14.966	51.988	0	0	14.966	0.883	0	36.139
ABCB9	0.3348	0	12.171	0	0	0	6.691	1.272	4.207
ABCC1	0.2577	2.428	69.411	0	0	2.428	0	5.053	61.93
ABCC10	6.1838	0	1.438	0	0	0	0	0	1.438
ABCC12	0.3642	0	2.283	0	0	0	1.55	0	0.733
ABCC2	0	0	4.905	0	0	0	1.24	0.685	2.979
