gene	total_signal_0-8	total_signal	LTR_0-8	LINE_0-8	SINE_0-8	LTR	LINE	SINE
A1BG	0.542	1.981	0.542	0	0	0	0.523	0.916
A1CF	0.033	1.358	0	0	0.033	0.19	0.252	0.882
A2M	0.253	1.909	0	0	0.253	0.87	0.786	0
A3GALT2	0.886	7.28	0	0	0.886	2.588	0.961	2.845
A4GALT	2.357	12.97	0.819	0	1.538	1.14	0	9.473
A4GNT	0.122	13.824	0	0	0.122	5.894	1.275	6.533
AAAS	2.007	18.427	0	0	2.007	1.106	0	15.314
AACS	1.092	40.063	0	0	1.092	4.137	0	34.834
AADAC	0.656	10.451	0	0.656	0	3.512	6.284	0
AADACL2	0.125	0.707	0	0.125	0	0.154	0.243	0.186
AADACL3	0.281	14.23	0.281	0	0	0	0.939	13.01
AADAT	0.413	11.091	0	0.413	0	6.802	2.737	1.139
AAGAB	0.083	4.086	0.049	0	0.034	1.62	0	2.384
AAK1	0	11.25	0	0	0	3.312	1.589	6.349
AAMDC	0.938	28.811	0	0	0.938	7.496	4.048	16.329
AAMP	0	16.917	0	0	0	0	0	16.917
AANAT	0.401	7.738	0	0	0.401	1.631	0	5.705
AAR2	1.162	17.816	0	0	1.162	2.284	0	14.37
AARD	3.124	11.113	1.937	0	1.187	0	0	7.989
AARS	1.949	153.672	0	0	1.949	22.832	0	128.892
AARS2	0.028	1.377	0	0	0.028	0.227	0.642	0.48
AARSD1	0.261	1.386	0	0	0.261	0.362	0	0.764
AASDH	0	19.246	0	0	0	2.504	0.35	16.392
AASDHPPT	0.644	4.655	0	0.644	0	0.824	2.29	0.897
AASS	0.431	5.553	0	0.431	0	0	3.934	1.187
AATF	0.249	1.661	0	0	0.249	0	0.204	1.207
AATK	0	0	0	0	0	0	0	0
ABAT	0	1.511	0	0	0	0.299	0	1.211
ABCA1	0.032	0.527	0	0.032	0	0.303	0.192	0
ABCA12	0	3.027	0	0	0	0.741	1.099	1.188
ABCA13	1.028	14.263	0	1.028	0	6.355	0	6.88
ABCA2	0	4.095	0	0	0	0.721	0.741	2.633
ABCA3	0	17.815	0	0	0	4.365	3.063	10.388
ABCA4	0.467	12.74	0	0	0.467	1.193	3.235	7.845
ABCA5	0	5.384	0	0	0	1.719	0.319	3.346
ABCA6	3.301	38.12	1.445	0	1.856	8.618	14.828	11.373
ABCA7	1.932	90.326	0	0	1.932	7.05	0	81.345
ABCA8	0.163	1.007	0.129	0.034	0	0.395	0.202	0.247
ABCA9	0.596	17.001	0	0.596	0	10.265	2.128	4.012
ABCB1	1.064	4.359	0	1.064	0	3.295	0	0
ABCB10	1.494	67.97	0	0	1.494	40.214	0.427	25.835
ABCB11	0.837	6.003	0	0	0.837	1.144	2.375	1.647
ABCB4	0	14.802	0	0	0	4.198	7.347	3.256
ABCB5	0.431	9.276	0	0.431	0	1.788	0.532	6.525
ABCB6	0.359	22.067	0	0	0.359	1.789	0.925	18.994
ABCB7	0.536	15.386	0	0	0.536	0.447	7.993	6.411
ABCB8	2.229	59.806	0	0	2.229	2.115	0	55.462
ABCB9	0.518	11.459	0	0	0.518	3.415	1.699	5.827
ABCC1	2.065	89.045	0	0	2.065	0	4.823	82.158
ABCC10	0.098	8.389	0	0	0.098	1.127	0	7.163
ABCC12	0	14.288	0	0	0	9.453	0	4.835
ABCC2	0.246	6.117	0	0	0.246	0.664	0.653	4.553
ABCC3	0	0.615	0	0	0	0	0	0.615
ABCC4	0.495	5.991	0	0.495	0	0	1.537	3.959
ABCC5	1.655	15.431	0.562	0	1.093	1.563	5.682	6.53
ABCC6	0	7.991	0	0	0	5.84	1.121	1.03
ABCC8	0	10.202	0	0	0	3.704	0	6.498
ABCC9	0.959	5.389	0	0	0.959	0	1.718	2.712
ABCD1	0.04	0.954	0	0	0.04	0.055	0.518	0.341
ABCD2	0.926	26.901	0	0	0.926	13.084	5.102	7.79
ABCD3	0.108	1.558	0.089	0.019	0	0.71	0.245	0.495
ABCD4	2.181	17.837	0	0	2.181	3.669	0	11.987
ABCE1	0.314	21.354	0	0	0.314	0.77	5.208	15.062
ABCF1	1.964	13.204	0	0	1.964	3.005	0	8.234
ABCF2	2.147	13.797	0.351	0.438	1.357	1.222	0.465	9.964
ABCF3	0.083	2.631	0	0	0.083	0.109	0.364	2.074
ABCG1	0.566	3.838	0	0.566	0	3.273	0	0
ABCG2	0	3.685	0	0	0	1.203	0.23	2.252
ABCG4	1.772	34.051	0	0	1.772	0	0	32.279
ABCG5	1.334	18.968	0	0.213	1.121	3.738	0	13.896
ABCG8	0	2.048	0	0	0	0.67	0.266	1.111
ABHD10	0.686	14.614	0	0	0.686	2.45	1.626	9.852
ABHD11	0.857	113.36	0	0	0.857	36.231	0	76.271
ABHD12	0	0.156	0	0	0	0	0.048	0.108
ABHD12B	0.546	10.869	0	0	0.546	2.413	0.948	6.962
ABHD13	0.973	36.187	0	0	0.973	31.772	2.713	0.729
ABHD14A	0.1	2.218	0	0	0.1	0.043	0	2.075
ABHD14B	0.059	1.217	0	0	0.059	0.057	0	1.101
ABHD15	1.607	18.957	0	0	1.607	0.915	0	16.435
ABHD16A	3.475	23.712	0	0	3.475	6.256	0.978	13.003
ABHD16B	2.482	74.443	1.578	0	0.904	6.397	0	65.565
ABHD17A	3.963	27.219	0	0	3.963	0	0	23.257
ABHD17B	1.441	83.27	0	0	1.441	3.395	24.527	53.907
ABHD17C	0.082	9.01	0	0	0.082	4.339	0.547	4.043
ABHD18	0	0.528	0	0	0	0.04	0	0.489
ABHD2	0.036	4.959	0	0	0.036	0.046	3.708	1.169
ABHD3	1.179	17.953	0	0	1.179	1.757	2.096	12.92
ABHD4	0.056	4.342	0	0	0.056	0.1	3.206	0.981
ABHD5	0.382	31.998	0	0	0.382	3.423	0	28.192
ABHD6	0.042	1.316	0	0	0.042	0.159	0.25	0.865
ABHD8	0.991	22.544	0	0	0.991	8.11	0	13.442
ABI1	0.122	1.071	0	0.027	0.095	0.239	0.142	0.568
ABI2	1.75	20.124	0	0	1.75	4.404	0	13.97
ABI3	0	3.467	0	0	0	0	0	3.467
ABL1	0.068	3.139	0	0	0.068	0.178	0	2.893
ABL2	0.089	2.35	0	0	0.089	0.196	0.417	1.647
ABLIM1	0	16.71	0	0	0	3.329	4.937	8.445
ABLIM2	0	0.755	0	0	0	0.142	0.147	0.465
ABLIM3	0.018	0.544	0.018	0	0	0.133	0.095	0.299
ABO	0.131	0.351	0.131	0	0	0.068	0	0.151
ABR	0.303	6.465	0	0	0.303	0	0	6.162
ABRA	0.274	2.738	0	0	0.274	0	0.605	1.858
ABRACL	0.326	6.621	0.326	0	0	3.094	0.309	2.891
ABT1	14.93	109.584	0	0.991	13.939	13.745	29.815	51.093
ABTB1	0	34.192	0	0	0	17.076	1.754	15.362
ABTB2	0	9.343	0	0	0	4.969	0.392	3.982
ACAA1	0	7.633	0	0	0	0	0	7.633
ACAA2	1.483	91.353	0	0	1.483	23.405	18.938	47.527
ACACA	1.148	19.203	0	0	1.148	0.971	1.027	16.057
ACACB	2.381	22.731	0	0	2.381	3.901	1.655	14.793
ACAD10	43.435	208.895	0	0	43.435	11.925	4.222	149.313
ACAD11	0.27	47.105	0	0	0.27	0.905	0.589	45.341
ACAD8	0.302	12.474	0	0.302	0	5.152	3.13	3.89
ACAD9	0	68.474	0	0	0	6.048	6.954	55.472
ACADL	0.098	14.97	0	0	0.098	3.266	3.599	8.007
ACADM	3.665	20.236	0.967	0.395	2.303	3.995	0.939	11.638
ACADS	0.275	1.362	0	0.017	0.257	0.095	0.037	0.955
ACADSB	4.402	13.543	0	1.18	3.222	3.35	0.559	5.233
ACADVL	0	7.252	0	0	0	1.389	0	5.863
ACAP1	0	7.728	0	0	0	0	0	7.728
ACAP2	3.204	4.701	2.192	1.012	0	0	0	1.497
ACAP3	0	0	0	0	0	0	0	0
ACAT1	0.163	19.598	0.163	0	0	5.355	3.942	10.137
ACAT2	0.5205	6.911	0	0	0.5205	0.5135	0	5.877
ACBD3	0.187	34.079	0	0	0.187	3.571	0	30.32
ACBD4	2.396	15.979	0	0	2.396	0	0	13.583
ACBD5	1.489	21.762	0	0.054	1.435	1.404	3.462	15.407
ACBD6	0	1.54	0	0	0	0.474	0.232	0.833
ACBD7	0.431	1.237	0	0	0.431	0.307	0	0.499
ACCS	0.03	0.96	0.03	0	0	0.128	0.203	0.599
ACCSL	0.347	30.009	0	0	0.347	17.188	0	12.474
ACD	0.433	2.402	0	0	0.433	0	0	1.968
ACE	0	9.222	0	0	0	0	1.231	7.99
ACE2	0.063	0.866	0	0.042	0.021	0.021	0.268	0.515
ACER1	1.113	18.584	0.443	0	0.67	5.097	0.299	12.075
